"T9","lower","median","upper","fu"
0.001,5080824355.01498,5156663808.04538,5236633708.71213,1.01573491093543
0.002,4951745711.01743,5024971286.02042,5103563373.31713,1.01552517349533
0.003,4856529828.89818,4928445868.0369,5003607107.77715,1.01539657959471
0.004,4778692533.92566,4848658062.52326,4923853306.36649,1.01530907114612
0.005,4712654081.39558,4780756586.49227,4855563959.54194,1.01524721718475
0.006,4654129778.34604,4721647884.93399,4794988020.18912,1.01520314336449
0.007,4601339726.53931,4666726996.78109,4741397115.78604,1.01517219320011
0.008,4553244329.40151,4617859446.21007,4691026358.04605,1.01515134444518
0.009,4508899802.34752,4572622765.04495,4644424681.08427,1.01514758250031
0.01,4467579796.34446,4530460001.89694,4601403725.1151,1.01513217921144
0.011,4428941348.59608,4491347262.32612,4561239048.96918,1.01513121004365
0.012,4392801021.46177,4453820567.57344,4523061893.10666,1.01513472556863
0.013,4358548668.47493,4418703351.36843,4487504524.02855,1.01514203325575
0.014,4325823050.52439,4385565136.44305,4453542414.24152,1.01515256725199
0.015,4294133952.38946,4353737117.61843,4421117702.84073,1.01516587427053
0.016,4263850640.07959,4323242309.64306,4389860649.07768,1.01518166886306
0.018,4207640541.1275,4266011628.64771,4332920555.88708,1.01521893019081
0.02,4155477159.56736,4212945247.91851,4279417089.5798,1.01526148401946
0.025,4040203693.60865,4096255156.1878,4161137132.82185,1.01539049971665
0.03,3938591240.51755,3993763568.08579,4060521647.06561,1.01553413554039
0.04,3768817425.13131,3822957320.13901,3888867419.61518,1.01583820104357
0.05,3628730599.5324,3681990497.61065,3747064736.38098,1.01614037402191
0.06,3509443825.70458,3561937696.08214,3625800242.78799,1.01642743700679
0.07,3403861416.4418,3456978566.75496,3518725908.95906,1.01669480755759
0.08,3310304112.84824,3362150898.94036,3424092142.06672,1.01694121665054
0.09,3226153501.73171,3277591270.79832,3338061665.51412,1.0171672626523
0.1,3148894642.23844,3199923910.60693,3259041459.41282,1.01737416551801
0.11,3077794427.29623,3128270213.16758,3187097914.1015,1.01756344941892
0.12,3012194809.14975,3062896971.24343,3120978918.09896,1.01773670556257
0.13,2951495821.82817,3001470827.9389,3059209938.62993,1.01789547355297
0.14,2894961895.09388,2944340499.12137,3000633565.49559,1.0180412017795
0.15,2842150055.01667,2890572895.82519,2946099505.04173,1.01817499493751
0.16,2791774120.87292,2839867711.36327,2895089181.4346,1.01829861578374
0.18,2699854946.45399,2747311126.9161,2802130158.76931,1.01852260181196
0.2,2617484923.10658,2662802914.89285,2717727172.36121,1.01870689631301
0.25,2443508971.8013,2486091104.89228,2538574979.12325,1.01907873968143
0.3,2302317234.80016,2342938353.63102,2393067135.70464,1.01935200607504
0.35,2186325633.11101,2225233254.76382,2273813786.60191,1.01956146068783
0.4,2088361353.99823,2126663302.64815,2173199357.9224,1.01972761974397
0.45,2005436150.10578,2042593559.60335,2087735987.44336,1.01986313742755
0.5,1935016404.03569,1971139521.63117,2015220608.83566,1.01997623423561
0.6,1822201208.7156,1857023548.18475,1897799267.3396,1.02015613890024
0.7,1738144126.45536,1771150456.397,1810179897.44058,1.02029634316953
0.8,1673178671.96202,1705522487.38251,1742518579.35088,1.02041442462442
0.9,1622017279.32652,1653347242.78932,1690033458.17165,1.02052204320987
1,1580582299.39642,1611496264.89737,1647164935.49288,1.02062754444672
1.25,1502522703.83313,1531535558.84008,1566621342.59892,1.02092109262746
1.5,1442984505.09559,1471516219.72007,1506290181.14497,1.02131442887399
1.75,1391961791.30509,1421045730.28717,1455242538.08467,1.0218716603635
2,1346180355.73843,1374811322.35327,1410650240.34052,1.02264384776309
2.5,1263238711.70057,1293827542.64997,1330188750.46896,1.02494107939544
3,1188080203.22396,1222254909.54588,1259982011.57381,1.02819309373128
3.5,1121153845.77942,1156931938.45604,1197016270.59611,1.03213104864467
4,1060531129.53373,1099001916.71865,1141916868.50383,1.03642921625298
5,955056844.684584,998927531.62337,1044453253.14376,1.04513912819351
6,865137236.941251,914218747.016546,961190551.554534,1.05315600866958
7,788665788.266251,839513080.249392,889945418.530461,1.0601614858142
8,721387988.458618,774257497.184019,823746822.17269,1.06615096480011
9,662323206.165114,715939333.566596,765330686.188035,1.07126235277109
10,611316475.154946,664716516.196475,712361002.219132,1.07561490225948
