   kT        T9           rrate        unc 
0.000086  0.1000E-02   0.65985E+10  0.62251E+09
0.000172  0.2000E-02   0.64323E+10  0.60907E+09
0.000259  0.3000E-02   0.63054E+10  0.60771E+09
0.000345  0.4000E-02   0.61992E+10  0.61464E+09
0.000431  0.5000E-02   0.61065E+10  0.62456E+09
0.000517  0.6000E-02   0.60237E+10  0.63454E+09
0.000603  0.7000E-02   0.59484E+10  0.64336E+09
0.000689  0.8000E-02   0.58791E+10  0.65068E+09
0.000776  0.9000E-02   0.58148E+10  0.65652E+09
0.000862  0.1000E-01   0.57547E+10  0.66102E+09
0.000948  0.1100E-01   0.56982E+10  0.66438E+09
0.001034  0.1200E-01   0.56449E+10  0.66677E+09
0.001120  0.1300E-01   0.55943E+10  0.66835E+09
0.001206  0.1400E-01   0.55462E+10  0.66926E+09
0.001293  0.1500E-01   0.55003E+10  0.66961E+09
0.001379  0.1600E-01   0.54564E+10  0.66950E+09
0.001551  0.1800E-01   0.53738E+10  0.66821E+09
0.001723  0.2000E-01   0.52973E+10  0.66586E+09
0.002154  0.2500E-01   0.51272E+10  0.65728E+09
0.002585  0.3000E-01   0.49802E+10  0.64687E+09
0.003447  0.4000E-01   0.47345E+10  0.62496E+09
0.004309  0.5000E-01   0.45328E+10  0.60398E+09
0.005170  0.6000E-01   0.43613E+10  0.58464E+09
0.006032  0.7000E-01   0.42120E+10  0.56689E+09
0.006894  0.8000E-01   0.40795E+10  0.55052E+09
0.007755  0.9000E-01   0.39604E+10  0.53528E+09
0.008617  0.1000E+00   0.38523E+10  0.52097E+09
0.009479  0.1100E+00   0.37532E+10  0.50743E+09
0.010340  0.1200E+00   0.36619E+10  0.49453E+09
0.011202  0.1300E+00   0.35771E+10  0.48218E+09
0.012064  0.1400E+00   0.34981E+10  0.47033E+09
0.012926  0.1500E+00   0.34241E+10  0.45893E+09
0.013787  0.1600E+00   0.33547E+10  0.44794E+09
0.015511  0.1800E+00   0.32274E+10  0.42711E+09
0.017234  0.2000E+00   0.31134E+10  0.40773E+09
0.021542  0.2500E+00   0.28730E+10  0.36493E+09
0.025851  0.3000E+00   0.26804E+10  0.32919E+09
0.030159  0.3500E+00   0.25224E+10  0.29931E+09
0.034468  0.4000E+00   0.23908E+10  0.27422E+09
0.038776  0.4500E+00   0.22801E+10  0.25303E+09
0.043085  0.5000E+00   0.21860E+10  0.23500E+09
0.051702  0.6000E+00   0.20364E+10  0.20626E+09
0.060319  0.7000E+00   0.19244E+10  0.18464E+09
0.068936  0.8000E+00   0.18385E+10  0.16796E+09
0.077553  0.9000E+00   0.17710E+10  0.15481E+09
0.086170  0.1000E+01   0.17165E+10  0.14421E+09
0.107713  0.1250E+01   0.16156E+10  0.12503E+09
0.129255  0.1500E+01   0.15427E+10  0.11213E+09
0.150798  0.1750E+01   0.14838E+10  0.10275E+09
0.172340  0.2000E+01   0.14331E+10  0.95537E+08
0.215425  0.2500E+01   0.13471E+10  0.84963E+08
0.258510  0.3000E+01   0.12753E+10  0.77430E+08
0.301595  0.3500E+01   0.12142E+10  0.71712E+08
0.344680  0.4000E+01   0.11618E+10  0.67193E+08
0.430850  0.5000E+01   0.10771E+10  0.60467E+08
0.517020  0.6000E+01   0.10116E+10  0.55665E+08
0.603190  0.7000E+01   0.95914E+09  0.52020E+08
0.689360  0.8000E+01   0.91535E+09  0.49111E+08
0.775530  0.9000E+01   0.87751E+09  0.46690E+08
0.861700  0.1000E+02   0.84384E+09  0.44603E+08
