"T9","lower","median","upper","fu"
0.001,5277377659.73243,5403629916.51143,5542161419.90985,1.02340710348454
0.002,5140547738.90851,5256716740.10627,5389333473.47243,1.02298043524571
0.003,5038350652.81129,5148839223.42312,5274582595.9713,1.022679057755
0.004,4953486919.09385,5060983966.70763,5182419493.64971,1.02244175982893
0.005,4881033871.41471,4986780230.31412,5105111039.82436,1.02224495703022
0.006,4817480461.44879,4920373347.72225,5035961272.4585,1.02207662431629
0.007,4759589191.46067,4861065668.00049,4974036243.08172,1.02192964569698
0.008,4707234806.21322,4806455974.00449,4917091303.61072,1.02179940788
0.009,4660276619.70898,4756545268.46282,4864923772.38127,1.02164736458384
0.01,4614120638.01384,4709660629.42525,4815775034.37806,1.0215773113192
0.011,4571324110.25791,4666101038.54707,4769445570.64408,1.02148124082042
0.012,4531068384.29102,4624405558.2914,4726505923.0143,1.02139338236612
0.013,4493027572.71627,4585305605.87762,4686135150.21474,1.02131258269572
0.014,4457021230.44809,4548854083.13435,4647970675.79579,1.02123800744138
0.015,4423457368.67373,4514563005.2276,4611248592.7701,1.02116888833309
0.016,4391486915.62783,4481586888.7572,4576246843.84147,1.02110467621922
0.018,4331547138.8745,4419793002.09111,4511710006.52035,1.02098900085308
0.02,4275599360.10286,4362743596.30492,4452265105.76398,1.02088271755858
0.025,4151105344.84904,4234377369.85853,4321054361.45325,1.02068350644374
0.03,4043293520.61615,4124165491.34472,4207918738.52179,1.02053070128516
0.04,3862975258.69956,3938497449.93939,4018215609.86362,1.0203253376785
0.05,3716252587.84816,3786924120.32005,3862063825.16948,1.02020405736593
0.06,3588927002.08078,3657360326.05777,3730776643.31067,1.02013411772381
0.07,3478287322.27718,3544455540.37362,3614933689.87323,1.02009707878294
0.08,3379571626.99836,3445423306.30915,3513653723.47523,1.02008182392554
0.09,3290699340.17233,3355112143.54112,3423317700.14032,1.02008123662343
0.1,3209248211.42181,3272813856.67276,3339479751.52135,1.02009066727221
0.11,3135607650.84509,3197476999.48755,3263124212.47923,1.02010693390383
0.12,3067059298.75796,3128449443.7747,3192441459.46117,1.02012784190411
0.13,3003578950.80933,3064164531.98113,3126965565.79128,1.02015184945003
0.14,2944957174.41317,3004212209.17807,3066267695.31843,1.0201778642431
0.15,2889548920.61031,2948165328.6384,3009041104.62157,1.02020509148784
0.16,2837378108.8653,2894818155.86106,2955457593.67422,1.02023296973932
0.18,2742367068.68426,2798495852.19508,2856856876.44771,1.0202892811129
0.2,2656888217.24164,2711867158.1251,2768796709.75376,1.02034464708699
0.25,2478061116.76238,2528601823.54404,2583080274.17448,1.02047346649677
0.3,2333300427.88121,2381945497.31851,2433615219.54696,1.02058592492233
0.35,2214046044.35945,2260648229.15983,2310234279.21039,1.02068288252477
0.4,2114956201.00882,2159237266.98402,2206643899.3332,1.02076642356579
0.45,2030787006.20008,2073630865.31133,2119333248.74792,1.02083870460508
0.5,1959044442.93697,2000683783.08367,2044847940.37988,1.02090153227953
0.6,1844563526.11432,1884066522.06192,1925813513.40386,1.02100515520016
0.7,1758524149.4267,1796275181.77717,1836911396.81173,1.02108827229764
0.8,1692701823.51706,1729076005.98706,1768450545.49266,1.02115956061669
0.9,1640862081.10046,1676137455.9886,1714558030.96497,1.0212257549786
1,1598910179.90072,1633419077.74787,1670752881.15672,1.02129184231609
