# T9 Rate fu
1.000000e-03 5.156664e+09 1.015735e+00
2.000000e-03 5.024971e+09 1.015525e+00
3.000000e-03 4.928446e+09 1.015397e+00
4.000000e-03 4.848658e+09 1.015309e+00
5.000000e-03 4.780757e+09 1.015247e+00
6.000000e-03 4.721648e+09 1.015203e+00
7.000000e-03 4.666727e+09 1.015172e+00
8.000000e-03 4.617859e+09 1.015151e+00
9.000000e-03 4.572623e+09 1.015148e+00
1.000000e-02 4.530460e+09 1.015132e+00
1.100000e-02 4.491347e+09 1.015131e+00
1.200000e-02 4.453821e+09 1.015135e+00
1.300000e-02 4.418703e+09 1.015142e+00
1.400000e-02 4.385565e+09 1.015153e+00
1.500000e-02 4.353737e+09 1.015166e+00
1.600000e-02 4.323242e+09 1.015182e+00
1.800000e-02 4.266012e+09 1.015219e+00
2.000000e-02 4.212945e+09 1.015261e+00
2.500000e-02 4.096255e+09 1.015390e+00
3.000000e-02 3.993764e+09 1.015534e+00
4.000000e-02 3.822957e+09 1.015838e+00
5.000000e-02 3.681990e+09 1.016140e+00
6.000000e-02 3.561938e+09 1.016427e+00
7.000000e-02 3.456979e+09 1.016695e+00
8.000000e-02 3.362151e+09 1.016941e+00
9.000000e-02 3.277591e+09 1.017167e+00
1.000000e-01 3.199924e+09 1.017374e+00
1.100000e-01 3.128270e+09 1.017563e+00
1.200000e-01 3.062897e+09 1.017737e+00
1.300000e-01 3.001471e+09 1.017895e+00
1.400000e-01 2.944340e+09 1.018041e+00
1.500000e-01 2.890573e+09 1.018175e+00
1.600000e-01 2.839868e+09 1.018299e+00
1.800000e-01 2.747311e+09 1.018523e+00
2.000000e-01 2.662803e+09 1.018707e+00
2.500000e-01 2.486091e+09 1.019079e+00
3.000000e-01 2.342938e+09 1.019352e+00
3.500000e-01 2.225233e+09 1.019561e+00
4.000000e-01 2.126663e+09 1.019728e+00
4.500000e-01 2.042594e+09 1.019863e+00
5.000000e-01 1.971140e+09 1.019976e+00
6.000000e-01 1.857024e+09 1.020156e+00
7.000000e-01 1.771150e+09 1.020296e+00
8.000000e-01 1.705522e+09 1.020414e+00
9.000000e-01 1.653347e+09 1.020522e+00
1.000000e+00 1.611496e+09 1.020628e+00
1.250000e+00 1.531536e+09 1.020921e+00
1.500000e+00 1.471516e+09 1.021314e+00
1.750000e+00 1.421046e+09 1.021872e+00
2.000000e+00 1.374811e+09 1.022644e+00
2.500000e+00 1.293828e+09 1.024941e+00
3.000000e+00 1.222255e+09 1.028193e+00
3.500000e+00 1.156932e+09 1.032131e+00
4.000000e+00 1.099002e+09 1.036429e+00
5.000000e+00 9.989275e+08 1.045139e+00
6.000000e+00 9.142187e+08 1.053156e+00
7.000000e+00 8.395131e+08 1.060161e+00
8.000000e+00 7.742575e+08 1.066151e+00
9.000000e+00 7.159393e+08 1.071262e+00
1.000000e+01 6.647165e+08 1.075615e+00
