"T9","Adopted","Lower","Upper","data"
0.001,0.96245699825503,0.930032843344698,0.993530146710765,"previous"
0.002,0.965616605713368,0.932990183687965,0.996517591958581,"previous"
0.003,0.967723889781324,0.935086927223993,0.998691054254326,"previous"
0.004,0.969327690455106,0.936733902216564,1.00037857747526,"previous"
0.005,0.971339850025197,0.938265554056597,1.0018030173647,"previous"
0.006,0.971981639620245,0.939884024086638,1.00325623937094,"previous"
0.007,0.973560412608149,0.940915879814995,1.00444716286629,"previous"
0.008,0.974715167545332,0.94216240257393,1.0056669768624,"previous"
0.009,0.976088793643483,0.94360063113316,1.00713303782001,"previous"
0.01,0.976759840301001,0.944162092929611,1.00771597449541,"previous"
0.011,0.977727041705666,0.945223986410868,1.00847317509264,"previous"
0.012,0.978616296669823,0.946167828656656,1.00958983431875,"previous"
0.013,0.979612260426805,0.94717926653852,1.01051699805858,"previous"
0.014,0.980300367782621,0.94821473989654,1.01154163704012,"previous"
0.015,0.981543162932603,0.948854909787493,1.01244027891908,"previous"
0.016,0.982277012336112,0.949668224899009,1.01312994198814,"previous"
0.018,0.983621437167294,0.951194356821119,1.01424701304979,"previous"
0.02,0.985234213729211,0.952753964924952,1.01584778156771,"previous"
0.025,0.988694130552294,0.955951662592446,1.01951057098509,"previous"
0.03,0.991323752787872,0.9591827178562,1.02211856636115,"previous"
0.04,0.996347504406911,0.964114147190463,1.02665648208805,"previous"
0.05,1.00005970611173,0.967975466145678,1.0303278570231,"previous"
0.06,1.0027024009668,0.971162891204489,1.03276018879396,"previous"
0.07,1.00472917640496,0.973617343984403,1.03492595493079,"previous"
0.08,1.00653607532771,0.9753966517052,1.0358437681489,"previous"
0.09,1.0071729690167,0.976590793844127,1.03648088689041,"previous"
0.1,1.00763023988269,0.977352150002143,1.0366787626615,"previous"
0.11,1.00751986944659,0.977718596128976,1.03613698620854,"previous"
0.12,1.00713043525213,0.977176126206293,1.0357534416737,"previous"
0.13,1.00620572316678,0.976748957107528,1.03425978608035,"previous"
0.14,1.00500702707969,0.976137274696526,1.03285784702579,"previous"
0.15,1.00352536679595,0.974853213458926,1.03118257665202,"previous"
0.16,1.00198138136199,0.973824927815969,1.02936110515503,"previous"
0.18,0.998923207959872,0.971406657106319,1.02583632568067,"previous"
0.2,0.995814370856623,0.96864126603389,1.02218826671398,"previous"
0.25,0.988203508079077,0.962436397579481,1.01397061857867,"previous"
0.3,0.982944729059665,0.95779791131096,1.00809154680837,"previous"
0.35,0.979293397524046,0.954698758297238,1.00433725390568,"previous"
0.4,0.977102308208451,0.95305055908332,1.00190567449374,"previous"
0.45,0.976378731380147,0.952036879351279,1.0012615134541,"previous"
0.5,0.975595713760344,0.951730445351192,1.00028392245947,"previous"
0.6,0.975545974889294,0.951863755360947,1.00003554281065,"previous"
0.7,0.975864567217894,0.952192897910001,1.00052255608028,"previous"
0.8,0.976698713998556,0.952804421826861,1.00137386539155,"previous"
0.9,0.977692096191983,0.953810935807154,1.00248674358607,"previous"
1,0.979075762445664,0.954808654133946,1.00402325697173,"previous"
1.25,0.983792541547151,0.958773294350675,1.00970533328636,"previous"
1.5,0.989911522717878,0.964290283306356,1.01708556451798,"previous"
1.75,0.998371355571431,0.971253334476567,1.02691664093445,"previous"
2,1.00884544547751,0.980331644192143,1.03939594685469,"previous"
2.5,1.03592215534879,1.00399751030974,1.07045289386041,"previous"
3,1.06888708574701,1.03367054966993,1.1080165702771,"previous"
3.5,1.10714059333424,1.06848065690234,1.15113293479123,"previous"
4,1.14987653317932,1.10649795737675,1.19876349956,"previous"
5,1.24370569093111,1.19228825973024,1.30406528407995,"previous"
6,1.34729965248634,1.28731158131667,1.41782616859122,"previous"
7,1.45811776239669,1.39023682666238,1.53922225704027,"previous"
8,1.57221449138834,1.49584706011265,1.66385540891917,"previous"
9,1.68845993331989,1.60408838272133,1.79032314684742,"previous"
10,1.80681300116245,1.71404265146951,1.91835830257895,"previous"
0.001,1.00795971106409,0.990129148915865,1.02538186065203,"presentI"
0.002,1.00773202553759,0.989942358476814,1.02510779999747,"presentI"
0.003,1.00756006733794,0.989761187528558,1.02489435497175,"presentI"
0.004,1.00739163161494,0.989584649426588,1.02470290612048,"presentI"
0.005,1.00725028566103,0.989440532096819,1.02454346797342,"presentI"
0.006,1.00714281102788,0.989386663904804,1.0244245389136,"presentI"
0.007,1.00704070613782,0.989315804601641,1.02434105409722,"presentI"
0.008,1.00692554763661,0.989224539215236,1.02422134584001,"presentI"
0.009,1.00680503254647,0.989124771825772,1.02411983177992,"presentI"
0.01,1.00668692634721,0.989019487708319,1.02396527125855,"presentI"
0.011,1.00656948245619,0.988888040164039,1.02382837869153,"presentI"
0.012,1.00648792838915,0.988834294989692,1.02370723744434,"presentI"
0.013,1.00643036497292,0.988792818885733,1.02362224892266,"presentI"
0.014,1.00638767125054,0.988712360000263,1.0235522421925,"presentI"
0.015,1.0062909238343,0.988582727437595,1.02342948491384,"presentI"
0.016,1.00615307242688,0.988460741269304,1.02327934162915,"presentI"
0.018,1.00591284541128,0.988180535933987,1.02299013559125,"presentI"
0.02,1.00568384485787,0.987898076518047,1.02268493354627,"presentI"
0.025,1.005193450689,0.987586274590752,1.02220829915282,"presentI"
0.03,1.00460616937731,0.987207508011627,1.02158224389102,"presentI"
0.04,1.00379394678432,0.986302554425194,1.02050932293894,"presentI"
0.05,1.00285194016907,0.985303179186245,1.01948948914068,"presentI"
0.06,1.0019068975946,0.984650984714528,1.01843678457091,"presentI"
