"T9" "mean" "fu"
0.001 3.4958686897451e-19 1.01662981322935
0.002 6.03508591707806e-13 1.01655139818356
0.003 6.24796043900933e-10 1.01648489235582
0.004 4.92586047664193e-08 1.01642503125813
0.005 1.09319300604591e-06 1.0163696309847
0.006 1.15780042569552e-05 1.01631751854892
0.007 7.60007695265444e-05 1.01626797202402
0.008 0.000358112048442782 1.01622050723719
0.009 0.00132525554209146 1.01617477954007
0.01 0.00408476947423412 1.01613053258913
0.011 0.0109174925106357 1.01608756917435
0.012 0.0260400500697275 1.01604573345886
0.013 0.0566102129794354 1.01600489958733
0.014 0.113973712288582 1.0159649640656
0.015 0.21514024864094 1.01592584048348
0.016 0.384451453216805 1.01588745575241
0.018 1.07270855920056 1.01581266129642
0.02 2.59293006080911 1.01574017378038
0.025 15.1462847260793 1.01556715289883
0.03 58.0237445250589 1.01540336239669
0.04 408.954723702682 1.01509584657162
0.05 1635.35799673184 1.01480786625216
0.06 4702.60005474124 1.01453451782135
0.07 10932.6930230525 1.01427311074774
0.08 21937.3155842808 1.01402214638987
0.09 39559.8500386052 1.01378084371958
0.1 65782.3685636784 1.01354889023409
0.11 102739.366049197 1.0133262962112
0.12 152600.371107018 1.01311329828734
0.13 217589.148100923 1.01291028591348
0.14 299994.775398324 1.01271773829109
0.15 401898.900157724 1.0125361665873
0.16 525539.885391389 1.01236606083704
0.18 846242.112504882 1.01206182970457
0.2 1277785.92142346 1.01180699254712
0.25 2926248.14391829 1.011377935416
0.3 5493280.50760916 1.01119055157468
0.35 9020753.12027227 1.0111544476852
0.4 13447994.8018992 1.0111946752539
0.45 18653387.8631189 1.01126442395433
0.5 24478952.9933438 1.01133959811455
0.6 37350473.1254994 1.01147135937093
0.7 50857661.4362529 1.01157065401333
0.8 64133110.6765613 1.0116483185497
0.9 76622212.3775138 1.01171658673131
1 87988732.5606726 1.01178393498499
