"x","mean","lower","upper","fu","Case"
0.001,1.28316973006077e-21,7.2064458052941e-23,3.00268590460204e-21,2.10405529812662,"Case II"
0.002,2.20230729112286e-15,1.23560964316e-16,5.15160636665972e-15,2.10396029556681,"Case II"
0.003,2.26856543322505e-12,1.27170718724993e-13,5.30486432465823e-12,2.10387898510702,"Case II"
0.004,1.78047347757687e-10,9.97334183263618e-12,4.16226966610409e-10,2.10380522173169,"Case II"
0.005,3.93483063065261e-09,2.20254839559324e-10,9.1960239338585e-09,2.10373646899774,"Case II"
0.006,4.1509882343077e-08,2.32200675750539e-09,9.69822243438853e-08,2.10367137054825,"Case II"
0.007,2.714523605979e-07,1.5175132757477e-08,6.34025995631704e-07,2.10360909499656,"Case II"
0.008,1.27438791226389e-06,7.11998492629153e-08,2.97572581590736e-06,2.10354908693623,"Case II"
0.009,4.69935305907736e-06,2.62399983461849e-07,1.09701192354393e-05,2.10349095249645,"Case II"
0.01,1.44348617976567e-05,8.05554595506966e-07,3.36877074131678e-05,2.10343439980213,"Case II"
0.011,3.84518822181217e-05,2.14468642040876e-06,8.97149972446079e-05,2.10337920511896,"Case II"
0.012,9.14155926271983e-05,5.09608533260032e-06,0.000213235263582981,2.10332519227754,"Case II"
0.013,0.000198102432218039,1.10377893310425e-05,0.000461979003226264,2.10327221949716,"Case II"
0.014,0.000397600976643499,2.21421969396708e-05,0.000926991346137096,2.10322017058492,"Case II"
0.015,0.000748227089318563,4.16478207602367e-05,0.00174405183465839,2.10316894885001,"Case II"
0.016,0.00133304879589221,7.41642649786418e-05,0.00310650079834395,2.10311847277102,"Case II"
0.018,0.00369770848612483,0.000205528568794534,0.00861314277788928,2.10301948917537,"Case II"
0.02,0.00888688052615478,0.000493516844008389,0.0206917036822641,2.1029227691524,"Case II"
0.025,0.0511870876865582,0.00283692734201288,0.119076518418938,2.10268882107444,"Case II"
0.03,0.193453856163407,0.010701632980153,0.449654427685276,2.10246326286749,"Case II"
0.04,1.32863794528391,0.0732417884597069,3.08387873330423,2.10202927551782,"Case II"
0.05,5.18313176225533,0.284791015827587,12.018071559993,2.10161010563139,"Case II"
0.06,14.5543998880826,0.797074850036963,33.7064007438849,2.10120017332883,"Case II"
0.07,33.056811325328,1.80469690949089,76.482268038037,2.10079614657999,"Case II"
0.08,64.8385001205994,3.52915013399171,149.865448276437,2.1003958595679,"Case II"
0.09,114.314550823344,6.20410386224921,263.87380103418,2.09999782003682,"Case II"
0.1,185.952762521854,10.0637054452633,428.66732604942,2.0996009551802,"Case II"
0.11,284.116284021093,15.3338522115297,654.137991890987,2.09920446846565,"Case II"
0.12,412.955967165781,22.2274715647593,949.611925383537,2.09880775341741,"Case II"
0.13,576.377715058228,30.940398867097,1323.62981887838,2.09841033903019,"Case II"
0.14,777.79234642598,41.6497654326356,1784.07800560593,2.0980118535291,"Case II"
0.15,1020.32658283878,54.5133480112098,2337.98955953278,2.09761199972636,"Case II"
0.16,1306.91001833092,69.6697074886569,2991.47990660874,2.09721053764077,"Case II"
0.18,2022.0499668119,107.323201202849,4618.26307289053,2.09640204261909,"Case II"
0.2,2939.850938324,155.366531586709,6699.11563969337,2.09558519049592,"Case II"
0.25,6191.54397436705,323.817874623849,14024.1930812791,2.09350188404007,"Case II"
0.3,10879.2554898258,563.122508243107,24478.7201985492,2.09135533126641,"Case II"
0.35,17009.3388368127,871.815243635826,38015.2336920902,2.08914379935391,"Case II"
0.4,24537.1488514907,1245.92272897781,54472.0303732355,2.08686812035582,"Case II"
0.45,33377.1022131694,1680.30074204582,73619.9090716989,2.08453061021678,"Case II"
0.5,43447.2427572327,2169.40323313865,95193.6928082094,2.08213451044382,"Case II"
0.6,66963.1387757263,3289.94892160605,144584.218370837,2.07718228526477,"Case II"
0.7,94324.3479011607,4566.99777946439,200970.326612762,2.07204592002494,"Case II"
0.8,124772.306997243,5966.13714837163,262735.180654207,2.0667620918989,"Case II"
0.9,157438.452105295,7459.17566403658,327860.438054503,2.06136716841362,"Case II"
1,192463.774029891,9023.33746782251,395662.876888995,2.05589570219576,"Case II"
1.25,287455.355138267,13134.8679968553,570110.50111345,2.04208343292312,"Case II"
1.5,388257.736016487,17393.8622177734,745835.167036487,2.02839313326489,"Case II"
1.75,488901.829703239,21677.7581611518,911709.848016104,2.01511182909153,"Case II"
2,588761.001303592,25916.593885024,1069393.53248599,2.00242330141146,"Case II"
2.5,776269.416335403,34114.3896516731,1349370.25629122,1.97918690079392,"Case II"
3,941035.678469517,41823.4052923774,1578610.41784619,1.95894797747004,"Case II"
3.5,1082079.1788177,48998.0738342901,1764527.84702868,1.94153550563545,"Case II"
4,1204560.67669528,55617.5903267345,1912155.69665741,1.92661559195618,"Case II"
5,1386259.72425125,67363.4338525717,2113526.4886376,1.90281061848559,"Case II"
6,1528519.96812761,77344.5296710382,2226858.38584648,1.88498404263944,"Case II"
7,1619888.07696459,85822.7081324615,2290544.08458283,1.87127468301093,"Case II"
8,1675438.30394329,93025.5584013818,2313161.49428691,1.86041725374372,"Case II"
9,1696818.33877704,99144.3712225466,2308705.31723253,1.85156475579096,"Case II"
10,1700061.59528025,104343.400429786,2282887.97733991,1.84414761506958,"Case II"
