T9,,E0,DE0,Adopted,Lower,Upper,NACRE,SKM
0.001,,0.001,0.001,1.986E-07,1.968E-07,2.006E-07,1.05,1.17
0.002,,0.002,0.001,1.437E-03,1.424E-03,1.452E-03,1.04,1.10
0.003,,0.003,0.002,1.041E-01,1.031E-01,1.051E-01,1.03,1.07
0.004,,0.003,0.002,1.531E00,1.517E00,1.546E00,1.03,1.05
0.005,,0.004,0.003,1.029E01,1.019E01,1.039E01,1.03,1.04
0.006,,0.004,0.003,4.380E01,4.340E01,4.423E01,1.02,1.03
0.007,,0.005,0.004,1.389E02,1.376E02,1.403E02,1.01,1.02
0.008,,0.005,0.004,3.592E02,3.560E02,3.628E02,1.01,1.01
0.009,,0.006,0.005,8.009E02,7.936E02,8.088E02,1.01,1.01
0.010,,0.006,0.005,1.596E03,1.582E03,1.612E03,1.00,1.00
0.011,,0.006,0.006,2.915E03,2.888E03,2.943E03,1.00,1.00
0.012,,0.007,0.006,4.965E03,4.919E03,5.013E03,1.00,0.99
0.013,,0.007,0.007,7.989E03,7.917E03,8.068E03,1.00,0.99
0.014,,0.008,0.007,1.227E04,1.216E04,1.239E04,1.00,0.98
0.015,,0.008,0.007,1.811E04,1.795E04,1.829E04,1.00,0.98
0.016,,0.008,0.008,2.586E04,2.562E04,2.611E04,0.99,0.98
0.018,,0.009,0.009,4.855E04,4.810E04,4.902E04,0.99,0.98
0.020,,0.010,0.009,8.352E04,8.276E04,8.434E04,0.98,0.97
0.025,,0.011,0.011,2.480E05,2.457E05,2.504E05,0.98,0.97
0.030,,0.013,0.013,5.698E05,5.646E05,5.753E05,0.98,0.98
0.040,,0.015,0.017,1.927E06,1.910E06,1.946E06,0.97,1.00
0.050,,0.018,0.020,4.606E06,4.565E06,4.649E06,0.98,1.01
0.060,,0.020,0.023,8.957E06,8.877E06,9.039E06,0.98,1.00
0.070,,0.022,0.027,1.519E07,1.505E07,1.532E07,0.98,0.99
0.080,,0.024,0.030,2.335E07,2.315E07,2.355E07,0.99,0.98
0.090,,0.026,0.033,3.338E07,3.311E07,3.366E07,0.99,0.97
0.100,,0.028,0.036,4.511E07,4.475E07,4.547E07,0.99,0.98
0.110,,0.030,0.039,5.831E07,5.786E07,5.876E07,0.99,0.99
0.120,,0.032,0.042,7.272E07,7.218E07,7.326E07,0.99,1.00
0.130,,0.033,0.045,8.809E07,8.745E07,8.873E07,1.00,1.00
0.140,,0.035,0.047,1.042E08,1.034E08,1.049E08,0.99,1.01
0.150,,0.037,0.050,1.207E08,1.199E08,1.215E08,1.00,1.01
0.160,,0.038,0.053,1.376E08,1.366E08,1.385E08,1.00,1.00
0.180,,0.041,0.059,1.714E08,1.702E08,1.724E08,1.00,0.99
0.200,,0.044,0.064,2.045E08,2.032E08,2.057E08,0.99,0.98
0.250,,0.052,0.077,2.800E08,2.783E08,2.815E08,0.99,0.96
0.300,,0.058,0.090,3.422E08,3.402E08,3.440E08,0.99,0.96
0.350,,0.065,0.102,3.909E08,3.886E08,3.929E08,0.98,0.97
0.400,,0.071,0.114,4.279E08,4.255E08,4.301E08,0.98,0.97
0.450,,0.076,0.126,4.554E08,4.528E08,4.577E08,0.98,0.98
0.500,,0.082,0.137,4.753E08,4.725E08,4.777E08,0.98,0.98
0.600,,0.093,0.160,4.983E08,4.954E08,5.009E08,0.98,0.99
0.700,,0.103,0.182,5.066E08,5.035E08,5.093E08,0.98,0.99
0.800,,0.112,0.203,5.060E08,5.028E08,5.087E08,0.98,0.99
0.900,,0.121,0.224,5.001E08,4.968E08,5.028E08,0.99,0.99
1.000,,0.130,0.244,4.910E08,4.877E08,4.938E08,0.99,0.99
1.250,,0.151,0.294,4.624E08,4.592E08,4.652E08,0.99,0.98
1.500,,0.170,0.343,4.325E08,4.292E08,4.352E08,1.00,0.97
1.750,,0.189,0.390,4.044E08,4.012E08,4.071E08,1.00,0.96
2.000,,0.206,0.435,3.792E08,3.761E08,3.818E08,1.00,0.95
2.500,,0.239,0.524,3.369E08,3.340E08,3.394E08,1.00,
3.000,,0.270,0.610,3.039E08,3.010E08,3.062E08,1.01,
3.500,,0.300,0.694,2.776E08,2.748E08,2.799E08,1.00,
4.000,,0.328,0.776,2.564E08,2.537E08,2.586E08,1.00,
5.000,,0.380,0.934,2.244E08,2.219E08,2.265E08,0.99,
6.000,,0.429,1.088,2.017E08,1.993E08,2.036E08,0.98,
7.000,,0.476,1.237,1.847E08,1.824E08,1.866E08,0.97,
8.000,,0.520,1.382,1.716E08,1.693E08,1.734E08,0.96,
9.000,,0.562,1.525,1.612E08,1.590E08,1.629E08,0.95,
10.000,,0.603,1.665,1.527E08,1.505E08,1.544E08,0.94,
