* Table 1 from H. Costantini et al.rPhysics Letters B 482 (2000) 43–49
* Ebeam   Eeff       S         Acc.        Syst
  10.98  0.00422    9.700      1.650     0.7900    
  11.92  0.00459    9.000     0.6700     0.6900   
  11.93  0.00471    8.090     0.6200     0.4100  
  12.90  0.00500    8.950     0.7000     0.6000  
  12.89  0.00509    9.820      1.010     0.4900  
  13.94  0.00537    8.860     0.4800     0.6400  
  13.95  0.00544    8.010     0.3900     0.4700   
  13.95  0.00551    9.680     0.7000     0.4800  
  13.94  0.00554    8.870     0.5500     0.4200  
  14.94  0.00577    8.990     0.3100     0.6200 
  14.93  0.00583    8.930     0.3600     0.5200  
  14.93  0.00590    8.740     0.2500     0.4400   
  14.93  0.00593    8.310     0.5500     0.3900   
  15.96  0.00623    8.150     0.2900     0.4600
  15.93  0.00631    8.100     0.2300     0.3900
  16.91  0.00652    8.260     0.4800     0.5500  
  16.97  0.00657    8.030     0.2600     0.5100 
  16.94  0.00672    8.320     0.1600     0.4000  
  17.92  0.00700    7.900     0.2700     0.4400  
  17.88  0.00707    8.320     0.2800     0.4000  
  18.92  0.00734    7.700     0.1600     0.3700  
  18.87  0.00740    7.690     0.1500     0.3000 
  18.85  0.00746    7.900     0.1800     0.2600   
  18.90  0.00752    7.830     0.2600     0.2400 
  20.90  0.00812    7.310     0.1100     0.3300
  20.89  0.00819    7.310     0.2500     0.2800  
  20.94  0.00822    7.430     0.2400     0.2800  
  20.93  0.00829    7.850     0.2400     0.2500  
  20.94  0.00834    7.510     0.2200     0.2300  
  21.90  0.00851    7.380     0.2200     0.3300 
  21.91  0.00860    7.650     0.2300     0.2800 
  21.96  0.00871    7.820     0.2800     0.2500  
  22.87  0.00898    7.360     0.1900     0.2700 
  22.91  0.00908    7.660     0.1700     0.2500 
  22.96  0.00914    7.600     0.2400     0.2300 
  23.87  0.00929    7.540     0.2300     0.3300 
  23.89  0.00938    7.470     0.1400     0.2700  
  23.90  0.00948    7.590     0.1300     0.2400  
  24.90  0.00978    7.320     0.2200     0.2600 
  24.88  0.00987    7.520     0.1900     0.2400 
  24.89  0.00991    7.240     0.1800     0.2200  
  25.88  0.01007    7.390     0.1900     0.3100  
  25.91  0.01018    7.350     0.1400     0.2600 
  25.94  0.01029    7.440     0.1700     0.2300  
  27.90  0.01087    7.380     0.1600     0.3000 
  27.89  0.01096    7.350     0.1300     0.2600 
  27.87  0.01105    7.410     0.1700     0.2300 
  29.86  0.01165    7.240     0.1400     0.2800 
  29.95  0.01178    7.210     0.1200     0.2500 
  29.88  0.01185    7.350     0.1100     0.2300 
  31.91  0.01241    7.580     0.1400     0.3000 
  31.88  0.01255    7.310     0.1300     0.2500 
  31.87  0.01265    7.310     0.1400     0.2300
  32.93  0.01307    7.360     0.1300     0.2300
  34.84  0.01383    7.230     0.1300     0.2200
