3He(3He,2p)     
        charge projectile=           2
            charge target=           2
  nuclear mass projectile=   3.0149321599999999     
      nuclear mass target=   3.0149321599999999     
        number of samples=          10

 T9        low         med         high        logmu       logsigma     f.u.
 0.001   2.709E-41   2.715E-41   2.718E-41   -9.341E+01    2.915E-03    1.003E+00
 0.002   1.700E-30   1.704E-30   1.705E-30   -6.854E+01    2.909E-03    1.003E+00
 0.003   2.899E-25   2.906E-25   2.908E-25   -5.650E+01    2.901E-03    1.003E+00
 0.004   5.740E-22   5.752E-22   5.758E-22   -4.891E+01    2.895E-03    1.003E+00
 0.005   1.264E-19   1.266E-19   1.267E-19   -4.351E+01    2.889E-03    1.003E+00
 0.006   7.710E-18   7.725E-18   7.732E-18   -3.940E+01    2.883E-03    1.003E+00
 0.007   2.050E-16   2.054E-16   2.056E-16   -3.612E+01    2.878E-03    1.003E+00
 0.008   3.063E-15   3.069E-15   3.072E-15   -3.342E+01    2.873E-03    1.003E+00
 0.009   3.008E-14   3.014E-14   3.016E-14   -3.113E+01    2.869E-03    1.003E+00
 0.010   2.148E-13   2.152E-13   2.154E-13   -2.917E+01    2.865E-03    1.003E+00
 0.011   1.197E-12   1.199E-12   1.200E-12   -2.745E+01    2.861E-03    1.003E+00
 0.012   5.471E-12   5.482E-12   5.486E-12   -2.593E+01    2.857E-03    1.003E+00
 0.013   2.127E-11   2.131E-11   2.133E-11   -2.457E+01    2.853E-03    1.003E+00
 0.014   7.236E-11   7.249E-11   7.256E-11   -2.335E+01    2.850E-03    1.003E+00
 0.015   2.199E-10   2.203E-10   2.205E-10   -2.223E+01    2.846E-03    1.003E+00
 0.016   6.075E-10   6.086E-10   6.091E-10   -2.122E+01    2.843E-03    1.003E+00
 0.018   3.662E-09   3.668E-09   3.672E-09   -1.942E+01    2.837E-03    1.003E+00
 0.020   1.718E-08   1.721E-08   1.722E-08   -1.788E+01    2.831E-03    1.003E+00
 0.025   3.781E-07   3.786E-07   3.790E-07   -1.479E+01    2.819E-03    1.003E+00
 0.030   3.974E-06   3.978E-06   3.983E-06   -1.243E+01    2.809E-03    1.003E+00
 0.040   1.212E-04   1.213E-04   1.215E-04   -9.016E+00    2.793E-03    1.003E+00
 0.050   1.365E-03   1.366E-03   1.368E-03   -6.594E+00    2.783E-03    1.003E+00
 0.060   8.600E-03   8.605E-03   8.616E-03   -4.754E+00    2.777E-03    1.003E+00
 0.070   3.722E-02   3.724E-02   3.729E-02   -3.289E+00    2.775E-03    1.003E+00
 0.080   1.242E-01   1.243E-01   1.244E-01   -2.084E+00    2.775E-03    1.003E+00
 0.090   3.429E-01   3.433E-01   3.437E-01   -1.068E+00    2.779E-03    1.003E+00
 0.100   8.205E-01   8.218E-01   8.224E-01   -1.952E-01    2.785E-03    1.003E+00
 0.110   1.756E+00   1.759E+00   1.761E+00    5.658E-01    2.793E-03    1.003E+00
 0.120   3.438E+00   3.445E+00   3.448E+00    1.238E+00    2.804E-03    1.003E+00
 0.130   6.261E+00   6.275E+00   6.279E+00    1.838E+00    2.817E-03    1.003E+00
 0.140   1.074E+01   1.076E+01   1.077E+01    2.377E+00    2.831E-03    1.003E+00
 0.150   1.751E+01   1.756E+01   1.757E+01    2.866E+00    2.847E-03    1.003E+00
 0.160   2.737E+01   2.744E+01   2.746E+01    3.313E+00    2.865E-03    1.003E+00
 0.180   6.016E+01   6.035E+01   6.040E+01    4.101E+00    2.904E-03    1.003E+00
 0.200   1.182E+02   1.187E+02   1.188E+02    4.777E+00    2.949E-03    1.003E+00
 0.250   4.541E+02   4.561E+02   4.567E+02    6.123E+00    3.081E-03    1.003E+00
 0.300   1.257E+03   1.263E+03   1.265E+03    7.141E+00    3.233E-03    1.003E+00
