3He(a,g)        
        charge projectile=           2
            charge target=           2
  nuclear mass projectile=   3.0149321599999999     
      nuclear mass target=   4.0015060939999998     
        number of samples=        5000

 T9        low         med         high        logmu       logsigma     f.u.
 0.001   1.150E-47   1.178E-47   1.209E-47   -1.081E+02    2.389E-02    1.024E+00
 0.002   2.244E-36   2.300E-36   2.360E-36   -8.206E+01    2.389E-02    1.024E+00
 0.003   6.646E-31   6.811E-31   6.988E-31   -6.946E+01    2.389E-02    1.024E+00
 0.004   1.864E-27   1.911E-27   1.960E-27   -6.152E+01    2.389E-02    1.024E+00
 0.005   5.260E-25   5.391E-25   5.531E-25   -5.588E+01    2.389E-02    1.024E+00
 0.006   3.879E-23   3.975E-23   4.079E-23   -5.158E+01    2.389E-02    1.024E+00
 0.007   1.200E-21   1.230E-21   1.262E-21   -4.815E+01    2.389E-02    1.024E+00
 0.008   2.032E-20   2.083E-20   2.137E-20   -4.532E+01    2.389E-02    1.024E+00
 0.009   2.218E-19   2.273E-19   2.332E-19   -4.293E+01    2.389E-02    1.024E+00
 0.010   1.735E-18   1.778E-18   1.825E-18   -4.087E+01    2.389E-02    1.024E+00
 0.011   1.047E-17   1.073E-17   1.101E-17   -3.907E+01    2.389E-02    1.024E+00
 0.012   5.138E-17   5.266E-17   5.403E-17   -3.748E+01    2.389E-02    1.024E+00
 0.013   2.129E-16   2.182E-16   2.239E-16   -3.606E+01    2.389E-02    1.024E+00
 0.014   7.668E-16   7.859E-16   8.063E-16   -3.478E+01    2.389E-02    1.024E+00
 0.015   2.455E-15   2.517E-15   2.582E-15   -3.362E+01    2.389E-02    1.024E+00
 0.016   7.114E-15   7.291E-15   7.480E-15   -3.255E+01    2.389E-02    1.024E+00
 0.018   4.666E-14   4.782E-14   4.907E-14   -3.067E+01    2.389E-02    1.024E+00
 0.020   2.354E-13   2.413E-13   2.475E-13   -2.905E+01    2.389E-02    1.024E+00
 0.025   5.992E-12   6.141E-12   6.301E-12   -2.582E+01    2.389E-02    1.024E+00
 0.030   7.034E-11   7.209E-11   7.396E-11   -2.335E+01    2.389E-02    1.024E+00
 0.040   2.519E-09   2.582E-09   2.649E-09   -1.977E+01    2.389E-02    1.024E+00
 0.050   3.179E-08   3.258E-08   3.343E-08   -1.724E+01    2.389E-02    1.024E+00
 0.060   2.184E-07   2.238E-07   2.296E-07   -1.531E+01    2.389E-02    1.024E+00
 0.070   1.013E-06   1.038E-06   1.065E-06   -1.378E+01    2.389E-02    1.024E+00
 0.080   3.577E-06   3.666E-06   3.761E-06   -1.252E+01    2.389E-02    1.024E+00
 0.090   1.036E-05   1.062E-05   1.090E-05   -1.145E+01    2.389E-02    1.024E+00
 0.100   2.584E-05   2.648E-05   2.717E-05   -1.054E+01    2.389E-02    1.024E+00
 0.110   5.733E-05   5.876E-05   6.028E-05   -9.742E+00    2.389E-02    1.024E+00
 0.120   1.159E-04   1.187E-04   1.218E-04   -9.039E+00    2.389E-02    1.024E+00
 0.130   2.170E-04   2.224E-04   2.282E-04   -8.411E+00    2.389E-02    1.024E+00
 0.140   3.818E-04   3.913E-04   4.015E-04   -7.846E+00    2.389E-02    1.024E+00
 0.150   6.372E-04   6.530E-04   6.700E-04   -7.334E+00    2.389E-02    1.024E+00
 0.160   1.017E-03   1.042E-03   1.069E-03   -6.867E+00    2.389E-02    1.024E+00
 0.180   2.318E-03   2.376E-03   2.438E-03   -6.042E+00    2.389E-02    1.024E+00
 0.200   4.701E-03   4.818E-03   4.943E-03   -5.335E+00    2.389E-02    1.024E+00
 0.250   1.920E-02   1.968E-02   2.019E-02   -3.928E+00    2.389E-02    1.024E+00
 0.300   5.559E-02   5.698E-02   5.846E-02   -2.865E+00    2.389E-02    1.024E+00
 0.350   1.290E-01   1.322E-01   1.356E-01   -2.024E+00    2.389E-02    1.024E+00
 0.400   2.567E-01   2.631E-01   2.700E-01   -1.335E+00    2.389E-02    1.024E+00
