T(d,n)          
        charge projectile=           1
            charge target=           1
  nuclear mass projectile=   3.0154999999999998     
      nuclear mass target=   2.0135500000000000     
        number of samples=          10

 T9        low         med         high        logmu       logsigma       f.u.
 0.001   1.807E-07   1.839E-07   1.852E-07   -1.551E+01    1.097E-02    1.011E+00
 0.002   1.420E-03   1.445E-03   1.456E-03   -6.539E+00    1.090E-02    1.011E+00
 0.003   1.030E-01   1.048E-01   1.056E-01   -2.255E+00    1.083E-02    1.011E+00
 0.004   1.516E+00   1.542E+00   1.554E+00    4.336E-01    1.078E-02    1.011E+00
 0.005   1.020E+01   1.037E+01   1.045E+01    2.339E+00    1.072E-02    1.011E+00
 0.006   4.344E+01   4.418E+01   4.452E+01    3.789E+00    1.067E-02    1.011E+00
 0.007   1.379E+02   1.402E+02   1.413E+02    4.944E+00    1.062E-02    1.011E+00
 0.008   3.568E+02   3.628E+02   3.656E+02    5.894E+00    1.058E-02    1.011E+00
 0.009   7.961E+02   8.093E+02   8.156E+02    6.697E+00    1.053E-02    1.011E+00
 0.010   1.588E+03   1.614E+03   1.626E+03    7.387E+00    1.049E-02    1.011E+00
 0.011   2.901E+03   2.948E+03   2.972E+03    7.990E+00    1.045E-02    1.011E+00
 0.012   4.944E+03   5.024E+03   5.065E+03    8.523E+00    1.041E-02    1.010E+00
 0.013   7.961E+03   8.089E+03   8.155E+03    8.999E+00    1.037E-02    1.010E+00
 0.014   1.223E+04   1.243E+04   1.253E+04    9.428E+00    1.033E-02    1.010E+00
 0.015   1.807E+04   1.835E+04   1.850E+04    9.818E+00    1.029E-02    1.010E+00
 0.016   2.581E+04   2.621E+04   2.643E+04    1.017E+01    1.025E-02    1.010E+00
 0.018   4.851E+04   4.926E+04   4.967E+04    1.081E+01    1.018E-02    1.010E+00
 0.020   8.354E+04   8.481E+04   8.551E+04    1.135E+01    1.011E-02    1.010E+00
 0.025   2.485E+05   2.522E+05   2.543E+05    1.244E+01    9.923E-03    1.010E+00
 0.030   5.722E+05   5.803E+05   5.851E+05    1.327E+01    9.737E-03    1.010E+00
 0.040   1.942E+06   1.967E+06   1.983E+06    1.449E+01    9.340E-03    1.009E+00
 0.050   4.652E+06   4.708E+06   4.744E+06    1.537E+01    8.908E-03    1.009E+00
 0.060   9.064E+06   9.164E+06   9.230E+06    1.603E+01    8.456E-03    1.008E+00
 0.070   1.539E+07   1.555E+07   1.565E+07    1.656E+01    8.002E-03    1.008E+00
 0.080   2.371E+07   2.393E+07   2.408E+07    1.699E+01    7.565E-03    1.008E+00
 0.090   3.392E+07   3.422E+07   3.443E+07    1.735E+01    7.152E-03    1.007E+00
 0.100   4.586E+07   4.628E+07   4.654E+07    1.765E+01    6.768E-03    1.007E+00
 0.110   5.932E+07   5.986E+07   6.017E+07    1.791E+01    6.416E-03    1.006E+00
 0.120   7.403E+07   7.470E+07   7.507E+07    1.813E+01    6.092E-03    1.006E+00
 0.130   8.975E+07   9.054E+07   9.097E+07    1.832E+01    5.796E-03    1.006E+00
 0.140   1.062E+08   1.071E+08   1.076E+08    1.849E+01    5.525E-03    1.006E+00
 0.150   1.232E+08   1.242E+08   1.248E+08    1.864E+01    5.276E-03    1.005E+00
 0.160   1.405E+08   1.416E+08   1.422E+08    1.877E+01    5.048E-03    1.005E+00
 0.180   1.752E+08   1.766E+08   1.773E+08    1.899E+01    4.644E-03    1.005E+00
 0.200   2.094E+08   2.109E+08   2.117E+08    1.917E+01    4.299E-03    1.004E+00
 0.250   2.877E+08   2.894E+08   2.903E+08    1.948E+01    3.625E-03    1.004E+00
 0.300   3.526E+08   3.543E+08   3.553E+08    1.969E+01    3.139E-03    1.003E+00
 0.350   4.038E+08   4.054E+08   4.063E+08    1.982E+01    2.780E-03    1.003E+00
 0.400   4.429E+08   4.443E+08   4.453E+08    1.991E+01    2.512E-03    1.003E+00
