d(p,g)          
        charge projectile=           1
            charge target=           1
  nuclear mass projectile=   1.0072764668120000     
      nuclear mass target=   2.0135531826199999     
        number of samples=        5000

 T9        low         med         high        logmu       logsigma     f.u.
 0.001   1.333E-11   1.379E-11   1.434E-11   -2.501E+01    3.631E-02    1.037E+00
 0.002   1.843E-08   1.906E-08   1.982E-08   -1.777E+01    3.631E-02    1.037E+00
 0.003   5.969E-07   6.175E-07   6.418E-07   -1.430E+01    3.631E-02    1.037E+00
 0.004   5.282E-06   5.464E-06   5.679E-06   -1.212E+01    3.631E-02    1.037E+00
 0.005   2.472E-05   2.557E-05   2.658E-05   -1.057E+01    3.631E-02    1.037E+00
 0.006   7.987E-05   8.262E-05   8.588E-05   -9.400E+00    3.631E-02    1.037E+00
 0.007   2.031E-04   2.101E-04   2.184E-04   -8.466E+00    3.631E-02    1.037E+00
 0.008   4.378E-04   4.529E-04   4.708E-04   -7.698E+00    3.631E-02    1.037E+00
 0.009   8.368E-04   8.655E-04   8.997E-04   -7.051E+00    3.631E-02    1.037E+00
 0.010   1.460E-03   1.510E-03   1.570E-03   -6.494E+00    3.631E-02    1.037E+00
 0.011   2.374E-03   2.456E-03   2.552E-03   -6.008E+00    3.631E-02    1.037E+00
 0.012   3.648E-03   3.773E-03   3.922E-03   -5.578E+00    3.631E-02    1.037E+00
 0.013   5.354E-03   5.538E-03   5.756E-03   -5.195E+00    3.631E-02    1.037E+00
 0.014   7.565E-03   7.825E-03   8.134E-03   -4.849E+00    3.631E-02    1.037E+00
 0.015   1.035E-02   1.071E-02   1.113E-02   -4.535E+00    3.631E-02    1.037E+00
 0.016   1.379E-02   1.427E-02   1.483E-02   -4.248E+00    3.631E-02    1.037E+00
 0.018   2.289E-02   2.368E-02   2.461E-02   -3.742E+00    3.631E-02    1.037E+00
 0.020   3.540E-02   3.662E-02   3.807E-02   -3.306E+00    3.631E-02    1.037E+00
 0.025   8.469E-02   8.760E-02   9.106E-02   -2.433E+00    3.631E-02    1.037E+00
 0.030   1.646E-01   1.702E-01   1.769E-01   -1.769E+00    3.631E-02    1.037E+00
 0.040   4.331E-01   4.480E-01   4.657E-01   -8.015E-01    3.631E-02    1.037E+00
 0.050   8.626E-01   8.922E-01   9.274E-01   -1.125E-01    3.631E-02    1.037E+00
 0.060   1.461E+00   1.511E+00   1.570E+00    4.142E-01    3.631E-02    1.037E+00
 0.070   2.227E+00   2.304E+00   2.395E+00    8.361E-01    3.631E-02    1.037E+00
 0.080   3.159E+00   3.267E+00   3.396E+00    1.186E+00    3.631E-02    1.037E+00
 0.090   4.249E+00   4.395E+00   4.569E+00    1.482E+00    3.631E-02    1.037E+00
 0.100   5.491E+00   5.680E+00   5.904E+00    1.738E+00    3.631E-02    1.037E+00
 0.110   6.879E+00   7.115E+00   7.396E+00    1.964E+00    3.631E-02    1.037E+00
 0.120   8.404E+00   8.693E+00   9.035E+00    2.164E+00    3.631E-02    1.037E+00
 0.130   1.006E+01   1.041E+01   1.082E+01    2.344E+00    3.631E-02    1.037E+00
 0.140   1.184E+01   1.225E+01   1.273E+01    2.507E+00    3.631E-02    1.037E+00
 0.150   1.374E+01   1.421E+01   1.477E+01    2.656E+00    3.631E-02    1.037E+00
 0.160   1.575E+01   1.629E+01   1.693E+01    2.792E+00    3.631E-02    1.037E+00
 0.180   2.009E+01   2.078E+01   2.160E+01    3.035E+00    3.631E-02    1.037E+00
 0.200   2.482E+01   2.567E+01   2.668E+01    3.247E+00    3.631E-02    1.037E+00
 0.250   3.814E+01   3.945E+01   4.100E+01    3.676E+00    3.631E-02    1.037E+00
 0.300   5.327E+01   5.510E+01   5.728E+01    4.011E+00    3.631E-02    1.037E+00
 0.350   6.991E+01   7.231E+01   7.517E+01    4.283E+00    3.631E-02    1.037E+00
 0.400   8.782E+01   9.084E+01   9.442E+01    4.511E+00    3.631E-02    1.037E+00
