d(d,n)          
        charge projectile=           1
            charge target=           1
  nuclear mass projectile=   2.0135531826199999     
      nuclear mass target=   2.0135531826199999     
        number of samples=        5000

 T9        low         med         high        logmu       logsigma     f.u.
 0.001   1.310E-08   1.323E-08   1.337E-08   -1.814E+01    1.046E-02    1.011E+00
 0.002   5.441E-05   5.493E-05   5.553E-05   -9.809E+00    1.046E-02    1.011E+00
 0.003   2.998E-03   3.027E-03   3.060E-03   -5.800E+00    1.046E-02    1.011E+00
 0.004   3.703E-02   3.739E-02   3.780E-02   -3.286E+00    1.046E-02    1.011E+00
 0.005   2.195E-01   2.216E-01   2.240E-01   -1.507E+00    1.046E-02    1.011E+00
 0.006   8.480E-01   8.563E-01   8.655E-01   -1.550E-01    1.046E-02    1.011E+00
 0.007   2.486E+00   2.510E+00   2.537E+00    9.205E-01    1.046E-02    1.011E+00
 0.008   6.020E+00   6.078E+00   6.144E+00    1.805E+00    1.046E-02    1.011E+00
 0.009   1.268E+01   1.281E+01   1.295E+01    2.550E+00    1.046E-02    1.011E+00
 0.010   2.406E+01   2.429E+01   2.455E+01    3.190E+00    1.046E-02    1.011E+00
 0.011   4.204E+01   4.245E+01   4.291E+01    3.749E+00    1.046E-02    1.011E+00
 0.012   6.883E+01   6.950E+01   7.025E+01    4.242E+00    1.046E-02    1.011E+00
 0.013   1.069E+02   1.079E+02   1.091E+02    4.681E+00    1.046E-02    1.011E+00
 0.014   1.587E+02   1.603E+02   1.620E+02    5.077E+00    1.046E-02    1.011E+00
 0.015   2.273E+02   2.295E+02   2.320E+02    5.436E+00    1.046E-02    1.011E+00
 0.016   3.154E+02   3.185E+02   3.219E+02    5.764E+00    1.046E-02    1.011E+00
 0.018   5.624E+02   5.678E+02   5.740E+02    6.342E+00    1.046E-02    1.011E+00
 0.020   9.238E+02   9.328E+02   9.429E+02    6.838E+00    1.046E-02    1.011E+00
 0.025   2.485E+03   2.509E+03   2.536E+03    7.828E+00    1.046E-02    1.011E+00
 0.030   5.260E+03   5.311E+03   5.368E+03    8.578E+00    1.046E-02    1.011E+00
 0.040   1.556E+04   1.571E+04   1.588E+04    9.662E+00    1.046E-02    1.011E+00
 0.050   3.343E+04   3.375E+04   3.412E+04    1.043E+01    1.046E-02    1.011E+00
 0.060   5.967E+04   6.024E+04   6.090E+04    1.101E+01    1.046E-02    1.011E+00
 0.070   9.454E+04   9.546E+04   9.649E+04    1.147E+01    1.046E-02    1.011E+00
 0.080   1.380E+05   1.393E+05   1.408E+05    1.184E+01    1.046E-02    1.011E+00
