d(d,p)          
        charge projectile=           1
            charge target=           1
  nuclear mass projectile=   2.0135531826199999     
      nuclear mass target=   2.0135531826199999     
        number of samples=        5000

 T9        low         med         high        logmu       logsigma     f.u.
 0.001   1.342E-08   1.356E-08   1.371E-08   -1.812E+01    1.026E-02    1.010E+00
 0.002   5.565E-05   5.621E-05   5.681E-05   -9.786E+00    1.026E-02    1.010E+00
 0.003   3.061E-03   3.092E-03   3.125E-03   -5.779E+00    1.026E-02    1.010E+00
 0.004   3.775E-02   3.813E-02   3.854E-02   -3.267E+00    1.026E-02    1.010E+00
 0.005   2.234E-01   2.256E-01   2.280E-01   -1.489E+00    1.026E-02    1.010E+00
 0.006   8.618E-01   8.705E-01   8.799E-01   -1.385E-01    1.026E-02    1.010E+00
 0.007   2.523E+00   2.548E+00   2.576E+00    9.356E-01    1.026E-02    1.010E+00
 0.008   6.102E+00   6.163E+00   6.229E+00    1.819E+00    1.026E-02    1.010E+00
 0.009   1.284E+01   1.297E+01   1.311E+01    2.563E+00    1.026E-02    1.010E+00
 0.010   2.433E+01   2.457E+01   2.484E+01    3.202E+00    1.026E-02    1.010E+00
 0.011   4.247E+01   4.289E+01   4.335E+01    3.759E+00    1.026E-02    1.010E+00
 0.012   6.945E+01   7.015E+01   7.090E+01    4.251E+00    1.026E-02    1.010E+00
 0.013   1.077E+02   1.088E+02   1.099E+02    4.689E+00    1.026E-02    1.010E+00
 0.014   1.598E+02   1.614E+02   1.632E+02    5.084E+00    1.026E-02    1.010E+00
 0.015   2.286E+02   2.309E+02   2.334E+02    5.442E+00    1.026E-02    1.010E+00
 0.016   3.169E+02   3.201E+02   3.236E+02    5.769E+00    1.026E-02    1.010E+00
 0.018   5.640E+02   5.697E+02   5.758E+02    6.345E+00    1.026E-02    1.010E+00
 0.020   9.248E+02   9.341E+02   9.442E+02    6.840E+00    1.026E-02    1.010E+00
 0.025   2.477E+03   2.502E+03   2.529E+03    7.825E+00    1.026E-02    1.010E+00
 0.030   5.222E+03   5.275E+03   5.331E+03    8.571E+00    1.026E-02    1.010E+00
 0.040   1.533E+04   1.549E+04   1.566E+04    9.648E+00    1.026E-02    1.010E+00
 0.050   3.273E+04   3.306E+04   3.342E+04    1.041E+01    1.026E-02    1.010E+00
 0.060   5.808E+04   5.867E+04   5.930E+04    1.098E+01    1.026E-02    1.010E+00
 0.070   9.153E+04   9.245E+04   9.344E+04    1.143E+01    1.026E-02    1.010E+00
 0.080   1.329E+05   1.342E+05   1.357E+05    1.181E+01    1.026E-02    1.010E+00
 0.090   1.819E+05   1.837E+05   1.857E+05    1.212E+01    1.026E-02    1.010E+00
 0.100   2.380E+05   2.404E+05   2.430E+05    1.239E+01    1.026E-02    1.010E+00
 0.110   3.008E+05   3.039E+05   3.071E+05    1.262E+01    1.026E-02    1.010E+00
 0.120   3.699E+05   3.736E+05   3.777E+05    1.283E+01    1.026E-02    1.010E+00
 0.130   4.448E+05   4.493E+05   4.541E+05    1.302E+01    1.026E-02    1.010E+00
 0.140   5.250E+05   5.303E+05   5.360E+05    1.318E+01    1.026E-02    1.010E+00
 0.150   6.102E+05   6.164E+05   6.230E+05    1.333E+01    1.026E-02    1.010E+00
 0.160   7.000E+05   7.071E+05   7.147E+05    1.347E+01    1.026E-02    1.010E+00
 0.180   8.920E+05   9.009E+05   9.106E+05    1.371E+01    1.026E-02    1.010E+00
 0.200   1.098E+06   1.109E+06   1.121E+06    1.392E+01    1.026E-02    1.010E+00
 0.250   1.665E+06   1.682E+06   1.700E+06    1.434E+01    1.026E-02    1.010E+00
 0.300   2.285E+06   2.308E+06   2.333E+06    1.465E+01    1.026E-02    1.010E+00
 0.350   2.942E+06   2.971E+06   3.003E+06    1.490E+01    1.026E-02    1.010E+00
 0.400   3.624E+06   3.660E+06   3.700E+06    1.511E+01    1.026E-02    1.010E+00
 0.450   4.323E+06   4.366E+06   4.413E+06    1.529E+01    1.026E-02    1.010E+00
 0.500   5.033E+06   5.084E+06   5.138E+06    1.544E+01    1.026E-02    1.010E+00
 0.600   6.470E+06   6.535E+06   6.605E+06    1.569E+01    1.026E-02    1.010E+00
 0.700   7.911E+06   7.990E+06   8.076E+06    1.589E+01    1.026E-02    1.010E+00
 0.800   9.341E+06   9.435E+06   9.536E+06    1.606E+01    1.026E-02    1.010E+00
 0.900   1.075E+07   1.086E+07   1.098E+07    1.620E+01    1.026E-02    1.010E+00
 1.000   1.214E+07   1.226E+07   1.239E+07    1.632E+01    1.026E-02    1.010E+00
 1.250   1.548E+07   1.564E+07   1.580E+07    1.657E+01    1.026E-02    1.010E+00
 1.500   1.863E+07   1.882E+07   1.902E+07    1.675E+01    1.026E-02    1.010E+00
 1.750   2.159E+07   2.181E+07   2.205E+07    1.690E+01    1.026E-02    1.010E+00
 2.000   2.438E+07   2.462E+07   2.489E+07    1.702E+01    1.026E-02    1.010E+00
 2.500   2.947E+07   2.976E+07   3.008E+07    1.721E+01    1.026E-02    1.010E+00
 3.000   3.400E+07   3.434E+07   3.471E+07    1.735E+01    1.026E-02    1.010E+00
 3.500   3.806E+07   3.844E+07   3.885E+07    1.746E+01    1.026E-02    1.010E+00
 4.000   4.173E+07   4.215E+07   4.260E+07    1.756E+01    1.026E-02    1.010E+00
 5.000   4.811E+07   4.860E+07   4.912E+07    1.770E+01    1.026E-02    1.010E+00
 6.000   5.350E+07   5.404E+07   5.462E+07    1.781E+01    1.026E-02    1.010E+00
 7.000   5.810E+07   5.869E+07   5.932E+07    1.789E+01    1.026E-02    1.010E+00
 8.000   6.209E+07   6.272E+07   6.339E+07    1.795E+01    1.026E-02    1.010E+00
 9.000   6.556E+07   6.623E+07   6.694E+07    1.801E+01    1.026E-02    1.010E+00
10.000   6.861E+07   6.930E+07   7.005E+07    1.805E+01    1.026E-02    1.010E+00
