,E,S,Stat,lab
1,0.0312,6.4,0.39,Kud04
2,0.0331,5.48,0.22,Kud04
3,0.0352,5.62,0.21,Kud04
4,0.0373,5.46,0.2,Kud04
5,0.0393,5.69,0.25,Kud04
6,0.0413,5.51,0.18,Kud04
7,0.0433,5.43,0.14,Kud04
8,0.0453,5.39,0.09,Kud04
9,0.01699,13.15,4.98,Bon99
10,0.01846,7.86,2.97,Bon99
11,0.01898,8.25,2.29,Bon99
12,0.01946,7.67,2.22,Bon99
13,0.01993,5.1,1.7,Bon99
14,0.02143,4.72,0.65,Bon99
15,0.02337,7.31,0.63,Bon99
16,0.02436,5.44,0.34,Bon99
17,0.02076,6.8,0.82,Jun-98
18,0.02123,7.15,1.06,Jun-98
19,0.02175,7.63,0.91,Jun-98
20,0.02228,5.85,0.89,Jun-98
21,0.02233,7.27,1.05,Jun-98
22,0.02278,5.97,0.64,Jun-98
23,0.02282,7.21,0.84,Jun-98
24,0.02315,6.82,1.47,Jun-98
25,0.02321,7.5,1.02,Jun-98
26,0.0237,6.87,0.74,Jun-98
27,0.02425,6.66,0.74,Jun-98
28,0.0243,6.9,0.72,Jun-98
29,0.02452,7.1,0.79,Jun-98
30,0.0247,6.23,0.37,Jun-98
31,0.0248,5.96,0.62,Jun-98
32,0.04582,6.14,0.23,Jun-98
33,0.05064,5.63,0.14,Jun-98
34,0.05594,5.5,0.16,Jun-98
35,0.06106,5.41,0.14,Jun-98
36,0.06606,5.43,0.15,Jun-98
37,0.07122,5.43,0.14,Jun-98
38,0.07629,5.32,0.11,Jun-98
39,0.0815,5.33,0.12,Jun-98
40,0.08651,5.23,0.11,Jun-98
41,0.0917,5.15,0.11,Jun-98
42,0.02451,5.07,1.34,Kra87
43,0.02655,5.18,1.06,Kra87
44,0.029,5.23,0.58,Kra87
45,0.03145,5.45,0.45,Kra87
46,0.0339,5.26,0.52,Kra87
47,0.03634,5.35,0.41,Kra87
48,0.03909,5.77,0.35,Kra87
49,0.04124,5.03,0.43,Kra87
50,0.04373,4.88,0.24,Kra87
51,0.04648,4.98,0.26,Kra87
52,0.04808,5.08,0.16,Kra87
53,0.049,5.06,0.19,Kra87
54,0.04932,5.86,0.32,Kra87
55,0.0544,5.71,0.32,Kra87
56,0.0594,5.1,0.36,Kra87
57,0.0644,5.18,0.2,Kra87
58,0.0646,5.56,0.23,Kra87
59,0.068,5.39,0.31,Kra87
60,0.0693,5.93,0.17,Kra87
61,0.0727,5.3,0.18,Kra87
62,0.0734,5.55,0.25,Kra87
63,0.0778,5.27,0.2,Kra87
64,0.0794,5.26,0.18,Kra87
65,0.0845,5.12,0.18,Kra87
66,0.0863,4.92,0.13,Kra87
67,0.0895,5.31,0.3,Kra87
68,0.0916,4.69,0.07,Kra87
69,0.094,4.86,0.08,Kra87
70,0.0972,4.97,0.08,Kra87
71,0.1034,4.93,0.1,Kra87
72,0.1092,4.77,0.16,Kra87
73,0.116,4.89,0.08,Kra87
74,0.1215,4.67,0.08,Kra87
75,0.1336,4.56,0.13,Kra87
76,0.1413,4.62,0.09,Kra87
77,0.146,4.97,0.1,Kra87
78,0.1563,4.63,0.05,Kra87
79,0.1579,4.56,0.08,Kra87
80,0.1689,4.67,0.05,Kra87
81,0.1705,4.73,0.05,Kra87
82,0.1954,4.68,0.21,Kra87
83,0.2198,4.35,0.22,Kra87
84,0.2443,4.57,0.19,Kra87
85,0.2688,4.73,0.26,Kra87
86,0.2933,5.09,0.28,Kra87
87,0.3179,4.4,0.26,Kra87
88,0.3425,4.41,0.24,Kra87
89,0.088,4.864,0.34,Daw71
90,0.126,4.882,0.34,Daw71
91,0.155,4.956,0.35,Daw71
92,0.193,4.513,0.316,Daw71
93,0.234,4.68,0.328,Daw71
94,0.288,4.449,0.311,Daw71
95,0.338,4.342,0.174,Daw71
96,0.379,4.503,0.18,Daw71
97,0.435,4.214,0.169,Daw71
98,0.488,4.131,0.165,Daw71
99,0.591,3.901,0.156,Daw71
100,0.691,3.762,0.15,Daw71
101,0.746,3.699,0.148,Daw71
102,0.792,3.503,0.14,Daw71
103,0.895,3.511,0.14,Daw71
104,0.997,3.661,0.146,Daw71
105,1.081,3.504,0.14,Daw71
