E,S,Stat,lab
0.0561,0.073361,0.0031541,Leo06
0.0864,0.07482,0.0022281,Leo06
0.1164,0.080457,0.0017523,Leo06
0.1573,0.088004,0.0020381,Leo06
0.1896,0.098428,0.0017427,Leo06
0.2351,0.10653,0.0014576,Leo06
0.27865,0.12432,0.0017546,Leo06
0.32305,0.13815,0.0019829,Leo06
0.02466,0.0645,0.0027,Gre95
0.03962,0.0685,0.0029,Gre95
0.041,0.0701,0.0033,Gre95
0.05,0.069,0.0025,Gre95
0.052,0.0675,0.0024,Gre95
0.076,0.074,0.0025,Gre95
0.102,0.0785,0.0027,Gre95
0.128,0.0866,0.0033,Gre95
0.019964,0.05939,0.00052,Bro90
0.024961,0.05996,0.00047,Bro90
0.029959,0.06113,0.00045,Bro90
0.034957,0.06198,0.00042,Bro90
0.039956,0.06261,4.00E-04,Bro90
0.044956,0.06421,0.00027,Bro90
0.049955,0.06499,0.00038,Bro90
0.054955,0.06585,0.00037,Bro90
0.058455,0.06677,5.00E-04,Bro90
0.01988,0.0529,0.0034,Kra87B
0.02236,0.0537,0.0034,Kra87B
0.02982,0.0551,0.0035,Kra87B
0.03478,0.0562,0.0036,Kra87B
0.03979,0.0562,0.0036,Kra87B
0.04472,0.0582,0.0037,Kra87B
0.04967,0.0564,0.0036,Kra87B
0.0196,0.0568,0.0081,Kra87M
0.024,0.0557,0.0074,Kra87M
0.029,0.0553,0.0058,Kra87M
0.0348,0.0548,0.0057,Kra87M
0.0397,0.0562,0.0047,Kra87M
0.0446,0.0568,0.0046,Kra87M
0.0495,0.0564,0.0046,Kra87M
0.0543,0.0592,0.0048,Kra87M
0.0593,0.063,0.0051,Kra87M
0.0643,0.0631,0.0051,Kra87M
0.074,0.0668,0.0054,Kra87M
0.0838,0.07,0.0057,Kra87M
0.0936,0.0726,0.0059,Kra87M
0.1034,0.0761,0.0062,Kra87M
0.1132,0.0778,0.0063,Kra87M
0.123,0.0808,0.0066,Kra87M
0.133,0.0844,0.0069,Kra87M
0.1425,0.0883,0.0072,Kra87M
0.1525,0.0851,0.0069,Kra87M
0.1625,0.0914,0.0074,Kra87M
