# Damone+ PRL 121, 042701 (2018)
#https://twiki.cern.ch/twiki/bin/view/NTOFPublic/Be7npPaperDraftAdoptedXsection
#  Ecm (MeV)   sigma (b)   error (b)  sigma*E^1/2  error
  1.7909E-08  5.8354E+04  2.0261E+02  7.8092E+00  2.7114E-02
  2.8383E-08  4.6414E+04  9.4977E+01  7.8195E+00  1.6001E-02
  4.4985E-08  3.6683E+04  7.1202E+01  7.7802E+00  1.5102E-02
  7.1296E-08  2.9085E+04  6.4611E+01  7.7661E+00  1.7252E-02
  1.1300E-07  2.2763E+04  7.2387E+01  7.6519E+00  2.4333E-02
  1.7909E-07  1.7891E+04  8.6764E+01  7.5714E+00  3.6717E-02
  2.8383E-07  1.4215E+04  8.6213E+01  7.5733E+00  4.5931E-02
  4.4985E-07  1.1356E+04  7.8137E+01  7.6167E+00  5.2407E-02
  7.1296E-07  8.9664E+03  7.0460E+01  7.5710E+00  5.9494E-02
  1.1300E-06  7.0533E+03  6.2507E+01  7.4976E+00  6.6445E-02
  1.7909E-06  5.6600E+03  5.5999E+01  7.5745E+00  7.4939E-02
  2.8383E-06  4.4966E+03  4.9726E+01  7.5757E+00  8.3775E-02
  4.4985E-06  3.6148E+03  4.4308E+01  7.6668E+00  9.3976E-02
  7.1296E-06  2.8124E+03  3.8436E+01  7.5095E+00  1.0263E-01
  1.1300E-05  2.3014E+03  3.5006E+01  7.7362E+00  1.1767E-01
  1.7909E-05  1.7518E+03  2.9780E+01  7.4136E+00  1.2603E-01
  2.8383E-05  1.4507E+03  2.6992E+01  7.7286E+00  1.4380E-01
  4.4985E-05  1.1444E+03  2.3653E+01  7.6756E+00  1.5864E-01
  7.1296E-05  8.9055E+02  2.0582E+01  7.5196E+00  1.7379E-01
  1.1300E-04  7.3698E+02  1.8689E+01  7.8341E+00  1.9866E-01
  1.7909E-04  5.6152E+02  1.6043E+01  7.5144E+00  2.1469E-01
  2.8383E-04  4.3001E+02  1.4894E+01  7.2445E+00  2.5093E-01
  4.4985E-04  3.2864E+02  1.2089E+01  6.9702E+00  2.5641E-01
  7.1296E-04  2.5580E+02  1.0371E+01  6.8301E+00  2.7691E-01
  1.1300E-03  2.0830E+02  9.2964E+00  7.0019E+00  3.1250E-01
  1.7909E-03  1.3359E+02  7.0723E+00  5.6533E+00  2.9929E-01
  2.8383E-03  1.0129E+02  6.2207E+00  5.3962E+00  3.3142E-01
  4.4985E-03  7.4196E+01  5.0184E+00  4.9763E+00  3.3659E-01
  7.1296E-03  6.1028E+01  4.6365E+00  5.1530E+00  3.9149E-01
  1.1300E-02  3.3391E+01  3.0292E+00  3.5495E+00  3.2201E-01
  1.7909E-02  2.6102E+01  2.4596E+00  3.4931E+00  3.2915E-01
  2.8383E-02  2.2732E+01  2.4701E+00  3.8298E+00  4.1614E-01
