"x","mean","lower","upper","fu"
0.001,3.66983824705503e-19,3.60152041294666e-19,3.73066162359332e-19,1.01853769741961
0.002,6.32164065375291e-13,6.2036957514239e-13,6.42643790584007e-13,1.01852332006206
0.003,6.53242467507019e-10,6.4101605847559e-10,6.64081911939498e-10,1.01851115870795
0.004,5.14148794225108e-08,5.04547483814625e-08,5.22702999202584e-08,1.01850023685657
0.005,1.13923164224945e-06,1.11808605824976e-06,1.1582317746274e-06,1.01849014865504
0.006,1.20477128925559e-05,1.18248384614086e-05,1.2249533763298e-05,1.0184806757067
0.007,7.89744341126479e-05,7.75149668631965e-05,8.029588477537e-05,1.01847168332088
0.008,0.000371625225705198,0.000364727034067472,0.000377805867664785,1.01846308095622
0.009,0.00137344373192337,0.00134803320656908,0.00139618986628372,1.01845480398754
0.01,0.00422803706259788,0.00415006239510635,0.00429778562612587,1.01844680419512
0.011,0.011287037049181,0.0110793843713846,0.0114732021436864,1.01843904434428
0.012,0.0268906242428994,0.0263956337480548,0.0273340756319436,1.01843149488433
0.013,0.0583946577295499,0.0573220465070302,0.0593574880486988,1.0184241318308
0.014,0.11744171690838,0.115290935177774,0.119377153165151,1.01841693534895
0.015,0.221445880835496,0.217412530233725,0.225104086660893,1.01840988877306
0.016,0.395303842388318,0.388136125529233,0.401847862673743,1.01840297790761
0.018,1.10081446549345,1.08088229161687,1.11907447947794,1.01838951594459
0.02,2.65593936263183,2.60753306794992,2.70002521392943,1.01837646885531
0.025,15.4460308688689,15.1669268886835,15.7019474148945,1.01834528113452
0.03,58.9262759934182,57.8740450214206,59.9018028793271,1.01831561306652
0.04,412.201377271359,404.956949832813,419.013685387483,1.01825912116573
0.05,1637.71902484804,1608.89529517481,1664.73845678837,1.01820462926432
0.06,4683.18516004339,4601.64603784194,4760.3548969936,1.01815075695234
0.07,10835.3337823174,10647.0247614596,11013.1013350584,1.01809661816209
0.08,21654.7135455648,21281.625318035,22014.322345233,1.01804163077013
0.09,38911.93585305,38244.4684087348,39565.4082274668,1.01798543176218
0.1,64522.4082734126,63426.3991500438,65609.7378399271,1.0179278391053
0.11,100538.094058086,98816.3064169388,102205.653577003,1.01786883554874
0.12,149042.930373466,146506.662796428,151507.747391426,1.0178085604799
0.13,212193.12549441,208593.016663387,215658.469220898,1.01774730079437
0.14,292135.294771904,287180.89722232,296853.371759233,1.01768547525821
0.15,391012.161395392,384410.639030698,397470.543834189,1.01762361022445
0.16,510916.417439148,502350.828561099,519459.907191678,1.01756230750395
0.18,822358.583716225,808861.334483522,835940.26335611,1.01744395028468
0.2,1242383.67227115,1222146.68425991,1262855.7509305,1.01733532500165
0.25,2856403.43394755,2809725.97175697,2902345.25040259,1.01712856181878
0.3,5390469.81755505,5302965.76246111,5473479.32885248,1.01702425055624
0.35,8890222.16882633,8743132.43501669,9029601.37756274,1.01700157552826
0.4,13305455.2155515,13081554.1598349,13520751.63149,1.01702899767251
0.45,18521414.0512054,18202936.9693939,18808874.6454159,1.01708143495618
0.5,24374763.7275656,23946130.6937105,24752100.6803594,1.01714323267602
0.6,37321952.1074653,36654519.1457145,37911499.0758088,1.01726545496349
0.7,50955175.7626308,50017884.7581604,51776592.2965493,1.01736975198252
0.8,64345812.2780667,63172194.2108249,65426806.5278385,1.01745557497879
0.9,76997970.7853722,75587490.9294922,78304237.0508796,1.01752624772409
1,88579428.3537868,86945362.8825843,90069410.9950542,1.0175860914569
1.25,112275022.983389,110216729.801477,114159571.448047,1.01770654605957
1.5,128931521.697014,126557707.007809,131155837.04423,1.01780420557038
1.75,140031637.195877,137407049.730804,142491273.817598,1.01788998685481
2,146902757.577717,144201462.246569,149576328.137357,1.0179683556876
2.5,152559448.582699,149678207.481967,155273444.207284,1.01811011944948
3,151869493.097614,148988714.441444,154610658.062574,1.01823740600503
3.5,148080983.551934,145270367.253249,150803074.747095,1.01835386270064
4,142832366.340432,140143797.900849,145461506.677281,1.0184619082574
5,131143591.320934,128632132.127394,133601334.192574,1.01865964158713
6,119833190.852812,117534251.751037,122047464.558447,1.01884092475449
7,109650093.809915,107554639.005531,111711489.017841,1.01901222141537
8,100738160.521545,98767090.2563663,102642913.089469,1.01917764643024
9,92951438.0649526,91125910.9614928,94686082.6352533,1.0193398456745
10,86148447.412315,84445087.0400038,87771346.0430981,1.01950052660662
