"x","mean","lower","upper","fu"
0.001,3.66196267371692e-19,3.59849440328405e-19,3.72766749862518e-19,1.01792923536628
0.002,6.3086405554314e-13,6.19898216130428e-13,6.42102973312967e-13,1.01790594563041
0.003,6.51930047321034e-10,6.40565159924835e-10,6.63478801053476e-10,1.01788624264166
0.004,5.13125164868287e-08,5.04187752189786e-08,5.22189183737784e-08,1.01786854681779
0.005,1.13706125824995e-06,1.11723688166406e-06,1.15712708566421e-06,1.01785220190444
0.006,1.20263548992875e-05,1.18160822859199e-05,1.22377044854947e-05,1.01783685492994
0.007,7.88400517199938e-05,7.74544238704566e-05,8.02213935674107e-05,1.01782228834662
0.008,0.000371006047616534,0.000364486035290424,0.000377494168299207,1.01780835603792
0.009,0.00137121781910682,0.00134714944270041,0.00139517016769938,1.01779495382366
0.01,0.0042213344529098,0.00414728277308967,0.00429492624218963,1.01778200407544
0.011,0.0112695238952094,0.0110718035762526,0.0114655217343716,1.01776944694781
0.012,0.0268496086630067,0.0263787906627199,0.0273163725304206,1.01775723503702
0.013,0.0583074794557639,0.057285909487868,0.059322143165201,1.01774532995368
0.014,0.117269037706396,0.115218245599553,0.119312151210536,1.01773370002935
0.015,0.22113557667768,0.217275427995432,0.224992728281146,1.01772231872801
0.016,0.39477459621027,0.387874789528351,0.401656004417813,1.01771116351357
0.018,1.09939910102993,1.0802013314782,1.11859764706799,1.0176894564453
0.02,2.65254088482877,2.60637835814912,2.69884222108829,1.01766845186092
0.025,15.4277410174869,15.1604035848484,15.6952400946749,1.01761841281867
0.03,58.8617234248031,57.8466961914093,59.8851747567804,1.01757109888518
0.04,411.865365833292,404.855503695764,418.994781449041,1.01748204514942
0.05,1636.69304729269,1609.3654020567,1664.90539803386,1.01739775382677
0.06,4681.86479010778,4603.56087983824,4761.4275611811,1.01731619584633
0.07,10835.8591503037,10654.19269779,11015.0789897272,1.0172360763594
0.08,21664.3374985103,21300.9068572561,22018.824062006,1.01715654062694
0.09,38938.6091093721,38287.0969196796,39567.1158071118,1.01707704398258
0.1,64590.7828629482,63502.8617614015,65624.8009122976,1.01699729154513
0.11,100665.962025725,98952.0985920794,102249.882801457,1.016917209607
0.12,149260.865045561,146698.655605026,151563.73488505,1.01683692871039
0.13,212547.699064587,208921.554884221,215794.801461522,1.01675676623741
0.14,292708.305127728,287755.210839754,297115.670983476,1.01667720151804
0.15,391928.125703243,385217.258056319,397772.659054839,1.01659884103111
0.16,512295.315784997,503535.676869192,519857.544274504,1.01652237498356
0.18,825076.048842507,810902.218403404,837078.11889397,1.01637801677181
0.2,1246518.51170955,1226138.09925307,1265076.43178365,1.0162495335083
0.25,2865652.19896833,2821317.25845775,2907971.76972786,1.01601949799273
0.3,5407318.35645261,5318305.21503581,5488024.80032042,1.0159208250287
0.35,8916546.03247372,8769820.2385809,9050080.71582897,1.01591784663555
0.4,13341458.1424862,13125759.3596847,13541737.2240357,1.01596755577168
0.45,18566821.2211599,18261456.4304783,18837034.0320869,1.01603897991859
0.5,24429371.618405,24013229.3730664,24779715.8039924,1.01611453834653
0.6,37396155.064536,36751789.4044083,37939255.2673078,1.01624982476842
0.7,51039288.2389489,50151169.9489565,51791003.1258106,1.01635446248249
0.8,64464016.5119097,63360278.4005422,65466212.1693235,1.01643493067643
0.9,77153797.6946721,75824525.9132881,78368261.0389332,1.01649886547768
1,88763817.2945498,87273085.1775081,90196569.0478458,1.01655289813163
1.25,112628004.086196,110698750.156966,114508978.704232,1.01666826226253
1.5,129532933.36308,127308836.82738,131694932.989958,1.01677509065189
1.75,140831830.882488,138430661.217898,143203874.278746,1.01688111614999
2,147958334.250534,145478402.431283,150496239.103981,1.01698723980569
2.5,154032575.289061,151370520.117511,156725511.98866,1.01719675551891
3,153762235.62832,151090707.906118,156445510.453716,1.01739781723043
3.5,150301854.832297,147727778.056198,152925231.468328,1.01758753130404
4,145383259.717588,142841946.459822,147936587.076892,1.01776527848854
5,134126944.89012,131749195.587282,136488062.472396,1.01808716424077
6,123078868.088823,120873416.042927,125302033.137186,1.0183706548188
7,113088359.608107,111036820.532444,115158536.322817,1.0186233053532
8,104313120.536555,102370500.167161,106225041.666033,1.01885130956162
9,96629822.394086,94791272.2810964,98420181.5644376,1.01905947578032
10,89895134.6972194,88173227.9642226,91587932.6002703,1.01925150609188
