"x","mean","lower","upper"
0.001,3.67463220483245e-19,3.61157042615997e-19,3.74121184436379e-19
0.002,6.32983398697343e-13,6.22118624694168e-13,6.44402538691375e-13
0.003,6.5406195612283e-10,6.42810552827495e-10,6.65826767670134e-10
0.004,5.14801720653861e-08,5.05945645713544e-08,5.24035981841296e-08
0.005,1.14071324225112e-06,1.12108950660331e-06,1.16109275532566e-06
0.006,1.20641615421853e-05,1.18567944881573e-05,1.22792422469453e-05
0.007,7.90845335064637e-05,7.77221828466883e-05,8.04898386228504e-05
0.008,0.000372134268469855,0.00036573419067931,0.000378764938747922
0.009,0.00137536321531895,0.00135172387138779,0.00139984671628044
0.01,0.00423395799645292,0.00416119349136507,0.0043093105940331
0.011,0.0113027620446302,0.0111085651502422,0.0115036264130048
0.012,0.0269277788727506,0.0264656218168929,0.0274065122753748
0.013,0.0584735033823078,0.0574718752372793,0.059513490675594
0.014,0.117600772988729,0.115584417037581,0.119685714834354
0.015,0.221755746808507,0.217954217614852,0.225685062384368
0.016,0.395866109117108,0.389085516104582,0.402876157445604
0.018,1.10238205393882,1.08353427822538,1.12190804016328
0.02,2.65977289527129,2.61423425149,2.7067747982093
0.025,15.4683977585781,15.2034613288947,15.7407026678596
0.03,59.0105903851158,58.0022742038439,60.049448751707
0.04,412.805024796544,405.778197785281,420.067254358914
0.05,1640.05677657448,1612.42940604309,1668.90517500347
0.06,4690.02055359248,4611.03769635104,4771.88814955874
0.07,10850.4668004612,10667.6591824782,11038.0156641889
0.08,21682.806870668,21323.3789110992,22055.7176849885
0.09,38961.685526953,38317.9485488307,39624.6713782894
0.1,64609.9149319653,63550.4387986566,65703.0190885956
0.11,100659.233438036,99024.5433729279,102353.584958491
0.12,149221.065437333,146796.113865201,151720.810531973
0.13,212432.156302981,208979.993469058,215965.866490626
0.14,292458.67842182,287732.75335785,297297.537672911
0.15,391476.120498883,385167.954722238,397905.419384761
0.16,511634.986269072,503358.456883561,520050.526756198
0.18,823679.082877581,810422.710200454,836962.318909804
0.2,1244530.2277759,1224379.99684249,1264388.25202767
0.25,2861285.43778747,2814606.63887369,2904836.78015003
0.3,5397796.64415853,5308574.78178893,5478183.16538669
0.35,8903145.53794536,8753678.36937859,9033071.30126288
0.4,13323873.3019082,13097752.2814481,13520790.3731039
0.45,18536778.0400501,18220220.238948,18813878.3386765
0.5,24386126.5359254,23966445.186616,24752765.2931443
0.6,37332511.0846155,36680651.2148648,37893598.5961138
0.7,50951125.0769412,50047082.782551,51723992.6425486
0.8,64362946.069355,63209476.1292194,65344312.8626664
0.9,77012699.9958093,75628462.5896171,78185192.8442408
1,88585618.5325106,87011645.276447,89942067.7069429
1.25,112275968.451702,110254458.392878,114031804.186709
1.5,128955979.348047,126657451.542365,131013530.621695
1.75,140043786.977646,137552520.520528,142312589.563768
2,146956514.196593,144312081.736111,149350048.347542
2.5,152571919.114474,149845241.633619,155100144.304774
3,151911381.942664,149226008.352119,154453839.67391
3.5,148150010.6261,145569622.621869,150675690.516133
4,142929830.935835,140488454.043199,145415849.635328
5,131239303.058896,129004351.196735,133563261.603389
6,119945553.164794,117879729.493505,122090941.263673
7,109784434.801149,107890534.690935,111778227.386192
8,100851139.243955,99099204.1231575,102717500.688041
9,93054052.5805891,91441240.2925573,94818400.6383327
10,86250876.3641884,84739988.1287201,87912745.6974772
