e1 gin gout
0.48000449 1.16116126 0.03976223
0.48000062 1.16237213 0.03973100
0.48000525 1.15602597 0.03969154
0.48000516 1.15638847 0.03970679
0.48000707 1.15684361 0.03972134
0.48000572 1.15631127 0.03969419
0.48000540 1.15712799 0.03969728
0.48000560 1.15796605 0.03970935
0.48000618 1.15854957 0.03973557
0.48000384 1.16016180 0.03972954
0.48000144 1.15851359 0.03973093
0.48000257 1.15978960 0.03972371
0.48000290 1.15925044 0.03973945
0.48000133 1.16304670 0.03975351
0.48000171 1.16133830 0.03974865
0.48000134 1.16116231 0.03975678
0.48000176 1.16079757 0.03975465
0.48000047 1.16172018 0.03972717
0.48000178 1.16264074 0.03972224
0.48000348 1.15948224 0.03971397
0.48000328 1.15725567 0.03972800
0.48000355 1.15734276 0.03972671
0.48000485 1.16071852 0.03974915
0.48000472 1.16055894 0.03973168
0.48000107 1.15857826 0.03972878
0.48000115 1.15873157 0.03975384
0.48000246 1.15796871 0.03975819
0.48000153 1.16608696 0.03976542
0.48000147 1.16548891 0.03976509
0.48000024 1.16536743 0.03976598
0.48000187 1.16228709 0.03973609
0.48000704 1.15826185 0.03973267
0.48001044 1.16042688 0.03972369
0.48000168 1.15954352 0.03973909
0.48000173 1.15908867 0.03973018
0.48000139 1.15941240 0.03973153
0.48000070 1.15822829 0.03970762
0.48000185 1.15767247 0.03971166
0.48000463 1.15841135 0.03973086
0.48000528 1.16189354 0.03973382
0.48000182 1.15816355 0.03973620
0.48000213 1.15944234 0.03974705
0.48000289 1.15769385 0.03973170
0.48000293 1.15874717 0.03970902
0.48000209 1.15602064 0.03971287
0.48000163 1.15850701 0.03974553
0.48000113 1.15935848 0.03975318
0.48000122 1.16205738 0.03973694
0.48000253 1.15812400 0.03974571
0.48000378 1.16129380 0.03976001
0.48000273 1.16152373 0.03974231
0.48000025 1.16058219 0.03974693
0.48000009 1.16356104 0.03976114
0.48000099 1.16109934 0.03971620
0.48000019 1.16160012 0.03972736
0.48000005 1.15958843 0.03974141
0.48000051 1.15757815 0.03969013
0.48000007 1.15675548 0.03972802
0.48000006 1.16004156 0.03973850
0.48000046 1.16104858 0.03973392
0.48000104 1.16178763 0.03975259
0.48000549 1.16077366 0.03975537
0.48000315 1.15983216 0.03977061
0.48000247 1.16318532 0.03976061
0.48000065 1.16218158 0.03974268
0.48000809 1.16213447 0.03975131
0.48000716 1.16039144 0.03972470
0.48000594 1.15840096 0.03973877
0.48000573 1.15995384 0.03972912
0.48000267 1.15699690 0.03972011
0.48000079 1.16069341 0.03972944
0.48000482 1.15855289 0.03973911
0.48000468 1.15905863 0.03973112
0.48000040 1.15785274 0.03973057
0.48000099 1.15780223 0.03972964
0.48000202 1.15836370 0.03972455
0.48000212 1.16026558 0.03974629
0.48000157 1.16061462 0.03975266
0.48000121 1.15887031 0.03971335
0.48000046 1.15963796 0.03971646
0.48000045 1.15810504 0.03971526
