x lower median upper fu
0.2 1.232865e-26 1.240662e-26 1.247013e-26 1.005789e+00
0.3 7.176397e-25 7.221182e-25 7.257758e-25 1.005734e+00
0.4 9.199714e-24 9.256648e-24 9.303028e-24 1.005685e+00
0.5 5.608634e-23 5.642851e-23 5.671320e-23 1.005640e+00
0.6 2.217834e-22 2.231283e-22 2.242423e-22 1.005598e+00
0.7 6.631509e-22 6.671401e-22 6.704404e-22 1.005559e+00
0.8 1.634112e-21 1.643906e-21 1.651951e-21 1.005522e+00
1.0 6.732263e-21 6.772176e-21 6.805122e-21 1.005453e+00
1.25 2.494512e-20 2.509191e-20 2.521406e-20 1.005374e+00
1.3 3.108163e-20 3.126365e-20 3.141568e-20 1.005359e+00
1.5 6.765721e-20 6.804659e-20 6.838046e-20 1.005300e+00
1.75 1.500702e-19 1.509272e-19 1.516589e-19 1.005229e+00
1.8 1.728252e-19 1.738113e-19 1.746517e-19 1.005216e+00
2.0 2.896749e-19 2.913085e-19 2.926877e-19 1.005161e+00
2.5 8.168638e-19 8.212567e-19 8.251391e-19 1.005028e+00
3.0 1.806158e-18 1.815673e-18 1.824081e-18 1.004893e+00
4.0 5.774761e-18 5.802999e-18 5.828279e-18 1.004615e+00
5.0 1.322877e-17 1.328736e-17 1.334266e-17 1.004328e+00
6.0 2.481131e-17 2.491360e-17 2.501197e-17 1.004049e+00
8.0 6.079367e-17 6.100934e-17 6.122091e-17 1.003562e+00
10.0 1.114114e-16 1.117850e-16 1.121186e-16 1.003193e+00
12.0 1.717572e-16 1.722839e-16 1.727509e-16 1.002929e+00
15.0 2.699084e-16 2.706698e-16 2.713360e-16 1.002676e+00
20.0 4.272526e-16 4.283569e-16 4.293964e-16 1.002478e+00
30.0 6.579218e-16 6.595892e-16 6.611148e-16 1.002414e+00
40.0 7.834037e-16 7.854198e-16 7.872678e-16 1.002473e+00
50.0 8.421480e-16 8.443955e-16 8.464116e-16 1.002555e+00
