t(d,n)          
        charge projectile=           1
            charge target=           1
  nuclear mass projectile=   3.0155007000000000     
      nuclear mass target=   2.0135532000000000     
        number of samples=           5

 T9        low         med         high        logmu       logsigma       f.u.
 0.001   0.000E+00   2.028E-07   2.034E-07   -1.541E+01    1.712E-03    1.002E+00
 0.002   0.000E+00   1.467E-03   1.471E-03   -6.524E+00    1.714E-03    1.002E+00
 0.003   0.000E+00   1.061E-01   1.064E-01   -2.242E+00    1.716E-03    1.002E+00
 0.004   0.000E+00   1.560E+00   1.565E+00    4.462E-01    1.717E-03    1.002E+00
 0.005   0.000E+00   1.048E+01   1.051E+01    2.351E+00    1.719E-03    1.002E+00
 0.006   0.000E+00   4.463E+01   4.477E+01    3.800E+00    1.721E-03    1.002E+00
 0.007   0.000E+00   1.415E+02   1.420E+02    4.954E+00    1.723E-03    1.002E+00
 0.008   0.000E+00   3.660E+02   3.671E+02    5.904E+00    1.725E-03    1.002E+00
 0.009   0.000E+00   8.159E+02   8.184E+02    6.706E+00    1.727E-03    1.002E+00
 0.010   0.000E+00   1.626E+03   1.631E+03    7.395E+00    1.729E-03    1.002E+00
 0.011   0.000E+00   2.969E+03   2.978E+03    7.997E+00    1.731E-03    1.002E+00
 0.012   0.000E+00   5.056E+03   5.072E+03    8.530E+00    1.734E-03    1.002E+00
 0.013   0.000E+00   8.135E+03   8.162E+03    9.005E+00    1.736E-03    1.002E+00
 0.014   0.000E+00   1.249E+04   1.253E+04    9.434E+00    1.739E-03    1.002E+00
 0.015   0.000E+00   1.844E+04   1.850E+04    9.824E+00    1.741E-03    1.002E+00
 0.016   0.000E+00   2.632E+04   2.641E+04    1.018E+01    1.744E-03    1.002E+00
 0.018   0.000E+00   4.941E+04   4.957E+04    1.081E+01    1.749E-03    1.002E+00
 0.020   0.000E+00   8.499E+04   8.527E+04    1.135E+01    1.755E-03    1.002E+00
 0.025   0.000E+00   2.521E+05   2.530E+05    1.244E+01    1.770E-03    1.002E+00
