"T9","lower","mean","upper","fu"
0.001,0.000000000000000000344031662901776,0.00000000000000000034958686897451,0.000000000000000000355544026122726,1.01662981322935
0.002,0.000000000000593999036762411,0.000000000000603508591707806,0.000000000000613723791124145,1.01655139818356
0.003,0.00000000061494392500619,0.000000000624796043900933,0.000000000635268569677704,1.01648489235582
0.004,0.0000000484895363766983,0.0000000492586047664193,0.0000000500812707581566,1.01642503125813
0.005,0.00000107625590961772,0.00000109319300604591,0.00000111136288215869,1.0163696309847
0.006,0.0000113993968115497,0.0000115780042569552,0.0000117701440420051,1.01631751854892
0.007,0.0000748357441148431,0.0000760007695265444,0.0000772583222868564,1.01626797202402
0.008,0.000352646670574695,0.000358112048442782,0.000363998031114042,1.01622050723719
0.009,0.0013050598663252,0.00132525554209146,0.00134685981223324,1.01617477954007
0.01,0.00402266051944535,0.00408476947423412,0.00415114991531762,1.01613053258913
0.011,0.0107519588182046,0.0109174925106357,0.0110948018979518,1.01608756917435
0.012,0.0256463352421084,0.0260400500697275,0.0264618757552157,1.01604573345886
0.013,0.0557570396130916,0.0566102129794354,0.0575216758106438,1.01600489958733
0.014,0.112262655403601,0.113973712288582,0.115798201431154,1.0159649640656
0.015,0.211921544643977,0.21514024864094,0.218573283567965,1.01592584048348
0.016,0.378721278340376,0.384451453216805,0.3905796759746,1.01588745575241
0.018,1.05684769118934,1.07270855920056,1.08972740406065,1.01581266129642
0.02,2.55490022037776,2.59293006080911,2.63389786302785,1.01574017378038
0.025,14.9250428445532,15.1462847260793,15.3849619618644,1.01556715289883
0.03,57.1738790825719,58.0237445250589,58.9242594651208,1.01540336239669
0.04,402.988227591401,408.954723702682,415.099061208479,1.01509584657162
0.05,1611.78727432419,1635.35799673184,1658.80516887915,1.01480786625216
0.06,4635.02425160487,4702.60005474124,4766.9907049215,1.01453451782135
0.07,10776.9982760202,10932.6930230525,11078.3925964688,1.01427311074774
0.08,21631.0842714367,21937.3155842808,22223.6131388978,1.01402214638987
0.09,39003.825874745,39559.8500386052,40056.3836820755,1.01378084371958
0.1,64885.7875277891,65782.3685636784,66609.2886478496,1.01354889023409
0.11,101394.805444711,102739.366049197,104014.971362301,1.0133262962112
0.12,150650.119181575,152600.371107018,154438.463224561,1.01311329828734
0.13,214853.349305015,217589.148100923,220126.575093484,1.01291028591348
0.14,296154.927779988,299994.775398324,303346.78717127,1.01271773829109
0.15,396828.047409697,401898.900157724,406225.611550901,1.0125361665873
0.16,519033.232459116,525539.885391389,531150.653463595,1.01236606083704
0.18,836130.750604029,846242.112504882,855273.490236099,1.01206182970457
0.2,1263536.92536651,1277785.92142346,1291449.29563392,1.01180699254712
0.25,2896962.63539301,2926248.14391829,2957522.93099204,1.011377935416
0.3,5439659.84828294,5493280.50760916,5555205.15269058,1.01119055157468
0.35,8930552.09852717,9020753.12027227,9127510.91267341,1.0111544476852
0.4,13310531.3424741,13447994.8018992,13610271.7762286,1.0111946752539
0.45,18464835.1393088,18653387.8631189,18882808.953492,1.01126442395433
0.5,24233409.4285628,24478952.9933438,24780527.6587216,1.01133959811455
0.6,36955445.1815787,37350473.1254994,37812057.4181728,1.01147135937093
0.7,50312953.4022931,50857661.4362529,51488467.4423492,1.01157065401333
0.8,63422430.0147014,64133110.6765613,64924776.775758,1.0116483185497
0.9,75747357.5852419,76622212.3775138,77556025.7682586,1.01171658673131
1,86992396.7473292,87988732.5606726,89089302.140821,1.01178393498499
1.25,109874485.37607,111097886.123742,112523456.851391,1.01197502794574
1.5,125677503.550061,127122719.572361,128763706.950615,1.0122122658805
1.75,135940414.288453,137473334.941777,139218759.677323,1.01249040901644
2,141989179.393992,143649714.32835,145450209.84018,1.01279771470953
2.5,145930726.695378,147738698.177701,149742410.083004,1.01345894543378
3,143792104.414979,145734430.658946,147810945.358759,1.01413740260682
3.5,138779644.64577,140793327.973329,142868240.865414,1.01480341290879
4,132629944.577712,134617228.077743,136677085.239732,1.01544352133258
5,119540701.015381,121444668.330117,123441810.042942,1.01662911545941
6,107279171.840803,109124143.273281,111043875.410304,1.01768928482406
7,96587059.4213511,98322049.9069237,100136555.300723,1.01863776666542
8,87407329.2515087,88983916.9512691,90724110.1017507,1.0194906613349
9,79472045.1652764,80969137.8886496,82609307.9466259,1.02026242491546
10,72645770.6439383,74073966.94046,75612431.8128419,1.02096516686575
