"T9","lower","mean","upper","fu"
0.001,3.62992443302481e-19,3.69717682087162e-19,3.76118033278757e-19,1.01790915205067
0.002,6.25368864790258e-13,6.36836428281486e-13,6.47780760191898e-13,1.01788600884332
0.003,6.46232475431124e-10,6.58055453345252e-10,6.69277854158906e-10,1.01786647022481
0.004,5.08620184473704e-08,5.1790222894105e-08,5.26763889445946e-08,1.01784895377199
0.005,1.12700051894166e-06,1.14762760136579e-06,1.1672256374256e-06,1.01783280132412
0.006,1.19189062893859e-05,1.21374908782338e-05,1.23442714082185e-05,1.01781765853222
0.007,7.81303581687751e-05,7.95618202558575e-05,8.0917611861701e-05,1.01780330679121
0.008,0.000367651421687675,0.000374368712226684,0.000380754270020051,1.01778959913538
0.009,0.00135887872980068,0.00138358280407178,0.00140715886138203,1.01777643067957
0.01,0.00418353198539113,0.00425924006799914,0.00433166567082098,1.01776372319501
0.011,0.0111689727292576,0.0113704890901571,0.011563138507098,1.01775141631521
0.012,0.0266092620152701,0.0270901760216838,0.0275471477896642,1.01773946217774
0.013,0.0577837136768125,0.058829546944028,0.0598176219579496,1.01772782198505
0.014,0.116213110010158,0.118317954834335,0.120300128160395,1.01771646370266
0.015,0.219145758287488,0.223100703483405,0.226844585349735,1.01770536046442
0.016,0.391220452480803,0.398260729305854,0.404940715727535,1.01769448943535
0.018,1.08939393315985,1.1090978424621,1.12760767842023,1.01767336804411
0.02,2.62819818638114,2.67609889577266,2.72041238170179,1.01765297067823
0.025,15.2828152626866,15.5643148870186,15.8166988650021,1.01760453438545
0.03,58.2995621470784,59.3712547692825,60.3292362320593,1.01755893146607
0.04,407.832707854798,415.269226170642,421.934960456839,1.01747359251355
0.05,1620.42348264463,1649.69852863619,1676.17718769009,1.01739340316017
0.06,4633.20640990803,4717.3037431234,4793.24682891265,1.01731637654809
0.07,10718.3440303543,10912.6061705565,11088.5196047779,1.01724129334372
0.08,21423.0325732471,21808.71103564,22158.9243050972,1.01716739433726
0.09,38499.5125898321,39189.404980216,39814.3276543465,1.01709424145709
0.1,63849.8516953525,64977.192335077,66018.3218928425,1.01702165005982
0.11,99460.3089320545,101230.739969605,102832.960930211,1.01694965305288
0.12,147437.171250606,150028.662870604,152418.271615996,1.01687847655016
0.13,209822.580245992,213545.456413751,216961.484166665,1.01680851530676
0.14,288796.633832139,293901.548223733,298643.438842247,1.01674030172356
0.15,386535.205207419,393264.743595822,399675.459000574,1.01667446675801
0.16,505076.307255093,513910.940810261,522246.032025927,1.01661169451736
0.18,812839.665279344,826676.758746177,840216.703415687,1.01649805608979
0.2,1227747.73762366,1248332.72332891,1269028.19233568,1.01640419738824
0.25,2817860.4147651,2865065.95067718,2912214.27238294,1.01627173403691
0.3,5308326.95279749,5398150.7772346,5485792.53411182,1.01627462056055
0.35,8741963.49060553,8892263.40943529,9035169.05570934,1.01636687073084
0.4,13063944.6054873,13291191.5019653,13508094.6208374,1.01650085698015
0.45,18163596.6534813,18470110.8307973,18773915.6786719,1.01664463370536
0.5,23874444.9958398,24283337.2643999,24678734.1127594,1.01678135316312
0.6,36521031.6968801,37137990.6739116,37762033.7047687,1.01701088963252
0.7,49813813.9241954,50648185.7597272,51529252.1868537,1.01717765229222
0.8,62905707.71278,63957762.7399068,65121425.2750549,1.017307999773
0.9,75285174.7746321,76538659.7112802,77930012.5462861,1.01740457014785
1,86626136.4353779,88076774.407006,89692973.4945674,1.01748202517267
1.25,109856226.113714,111776069.295499,113792440.728909,1.0176331936806
1.5,126316919.863995,128570443.34174,130929018.039426,1.017762163296
1.75,137299042.758256,139830448.209982,142400512.200219,1.01788868435735
2,144284172.56704,146937281.98029,149678904.272088,1.01801908960362
2.5,150283702.63316,153045799.77915,155935453.216483,1.01829691330096
3,150043174.559274,152845870.463861,155732590.815303,1.01859629928215
3.5,146626181.319282,149505062.329939,152309848.877862,1.01891367689996
4,141893942.678831,144665808.062881,147449190.979781,1.01924602965501
5,130935908.700971,133551202.927312,136214333.609472,1.01994754243441
6,120194598.877522,122595497.121302,125090300.132796,1.02068930179338
7,110424906.522701,112742647.911799,115025155.452812,1.02146399886321
8,101832808.174681,104075665.453607,106179984.264458,1.02226615277839
9,94388015.5879854,96488897.0711029,98427544.679833,1.02309125575263
10,87754044.2894801,89811729.1274803,91660680.5052195,1.02393546847893
