"x","mean","lower","upper","fu"
0.001,3.66742600593118e-19,3.60505932080204e-19,3.73298552210755e-19,1.01779825095545
0.002,6.31734984175844e-13,6.21019361922345e-13,6.42990608249846e-13,1.01777981143912
0.003,6.52790785731243e-10,6.41706534883774e-10,6.64373716348058e-10,1.01776420844981
0.004,5.13799037638859e-08,5.05075371621788e-08,5.22920459637469e-08,1.01775019213783
0.005,1.13845519705273e-06,1.11915673304537e-06,1.1587271274299e-06,1.01773724325639
0.006,1.20401055700064e-05,1.18367425437943e-05,1.22546024864177e-05,1.01772508252049
0.007,7.89247074136901e-05,7.75945246078362e-05,8.03319012969617e-05,1.01771353778596
0.008,0.000371389557489712,0.00036513913279094,0.00037801328698963,1.01770249341582
0.009,0.00137259821272732,0.00134950634042207,0.00139709059939323,1.01769186694384
0.01,0.00422546680104066,0.00415426520684276,0.00430086052354663,1.01768159690281
0.011,0.0112802366311982,0.0110901710605614,0.0114814238656016,1.0176716358875
0.012,0.0268741460332708,0.0264216453224245,0.0273529073143332,1.0176619463297
0.013,0.0583582299858938,0.0573761130438761,0.0593948445027827,1.01765249778751
0.014,0.117364492220324,0.115389084207444,0.119443316991088,1.01764326513182
0.015,0.221301211702188,0.217588657136905,0.225231015483072,1.01763422729044
0.016,0.395059563929833,0.38844243679456,0.402052674127118,1.01762536635289
0.018,1.1001833714847,1.08177547355246,1.11955383381964,1.01760811559844
0.02,2.65453588796855,2.61009658265308,2.70101114029868,1.01759141174418
0.025,15.4375656613603,15.1796333885123,15.7060644584114,1.01755156491752
0.03,58.8947825081871,57.9130206713655,59.9092098726805,1.01751380423489
0.04,412.034663575131,405.192584321673,419.061889171548,1.01744244857684
0.05,1637.14762132465,1610.10806703988,1664.964710187,1.01737449093687
0.06,4681.83477232898,4604.97235758826,4760.53126454431,1.01730829054641
0.07,10832.0850013346,10654.556661634,11014.2211300797,1.01724280304266
0.08,21648.3358515686,21295.2934427631,22011.323027706,1.01717734354234
0.09,38905.5470374334,38268.4473102214,39542.0319169148,1.01711148100052
0.1,64518.3072710828,63464.0431702006,65568.992327531,1.01704498918211
0.11,100525.526133052,98896.5491394319,102146.753959602,1.0169778237874
0.12,149032.645049038,146616.926130467,151415.53189793,1.01691010945561
0.13,212174.266109788,208731.269062154,215531.41448474,1.01684212649743
0.14,292128.347853486,287434.292122928,296715.281489915,1.01677429135371
0.15,391081.799931964,384754.332038122,397153.348597547,1.01670712854801
0.16,511144.001956125,502827.661010686,519000.214250726,1.01664123505466
0.18,822866.773936537,809591.982220096,835517.86684055,1.01651576560139
0.2,1243244.27930375,1223276.67923357,1262484.08982979,1.01640261100243
0.25,2858233.47117324,2812759.74073243,2902119.73839854,1.01619325045726
0.3,5391624.00648485,5306687.10571501,5475441.38602398,1.01609233391401
0.35,8891180.16444574,8751316.05262748,9031241.27302315,1.01607204855173
0.4,13306637.5071986,13099229.4917865,13519424.8833955,1.01609726754234
0.45,18517931.7160966,18223562.0625707,18812733.025441,1.01614222528112
0.5,24365641.268974,23974361.657131,24754327.066075,1.01619205829747
0.6,37304826.4452664,36699818.3993447,37909029.505279,1.01628183272783
0.7,50925153.3344739,50087378.3129372,51737271.3776752,1.01634940100125
0.8,64334516.2971089,63270673.0937081,65353783.1027817,1.01639840535307
0.9,76975346.9646383,75692532.2732146,78216053.373968,1.01643535431721
1,88552399.7457324,87081025.5045322,89983334.1058773,1.01646515751942
1.25,112229395.069197,110359929.434737,114038679.598032,1.01652670914398
1.5,128897000.086926,126736326.576135,131023651.483549,1.01658473694804
1.75,139956949.443635,137657082.323868,142311556.788849,1.01664482315257
2,146872270.156571,144408228.571003,149306789.553904,1.0167072992846
2.5,152510438.292551,149928200.72353,155041330.246056,1.0168360331935
3,151844768.371863,149260738.950539,154392605.063387,1.01696494667862
3.5,148095968.158808,145563422.219376,150613886.194541,1.0170909178481
4,142855218.193437,140476699.05692,145337300.61878,1.01721287324512
5,131147231.034387,128969336.717621,133472643.08695,1.01744480110264
6,119801637.336922,117841885.17508,121972215.609371,1.01766352178902
7,109650543.356897,107779108.363842,111645302.39138,1.01787274681993
8,100730894.654607,98976519.6061814,102570811.611425,1.01807548933832
9,92947311.353987,91288145.5931988,94634243.1167222,1.01827393966823
10,86135606.5741193,84592804.5610312,87713203.0258092,1.01846962524447
