"x","y","quant"
86662161.5915617,2.30435200800483e-11,"0"
86692650.9692181,2.74905772193782e-11,"0"
86723140.3468745,3.28538489707234e-11,"0"
86753629.7245309,3.91685321436089e-11,"0"
86784119.1021873,4.64608387568845e-11,"0"
86814608.4798437,5.48378954535265e-11,"0"
86845097.8575001,6.44179860471097e-11,"0"
86875587.2351565,7.59085556248452e-11,"0"
86906076.6128128,8.9021841024773e-11,"0"
86936565.9904692,1.03914111861911e-10,"0"
86967055.3681256,1.20747797627611e-10,"0"
86997544.745782,1.39964434553344e-10,"0"
87028034.1234384,1.62245784078258e-10,"0"
87058523.5010948,1.87245085560913e-10,"1"
87089012.8787512,2.15171598423629e-10,"1"
87119502.2564076,2.46239176112954e-10,"1"
87149991.634064,2.81503181083677e-10,"1"
87180481.0117204,3.21139342086898e-10,"1"
87210970.3893768,3.6486866301447e-10,"1"
87241459.7670332,4.12925602634497e-10,"1"
87271949.1446896,4.6554464314744e-10,"1"
87302438.5223459,5.24687546334528e-10,"1"
87332927.9000023,5.89314781177048e-10,"1"
87363417.2776587,6.59429603633514e-10,"1"
87393906.6553151,7.35230363397641e-10,"1"
87424396.0329715,8.1731616058139e-10,"1"
87454885.4106279,9.07413450104709e-10,"1"
87485374.7882843,1.00384923644182e-09,"1"
87515864.1659407,1.10671590335254e-09,"1"
87546353.5435971,1.21608736328674e-09,"1"
87576842.9212535,1.33316074173096e-09,"1"
87607332.2989099,1.45805161889744e-09,"1"
87637821.6765663,1.58939561388726e-09,"1"
87668311.0542226,1.72707962082409e-09,"1"
87698800.431879,1.87096419307422e-09,"1"
87729289.8095354,2.02243530879333e-09,"1"
87759779.1871918,2.17988164295219e-09,"1"
87790268.5648482,2.34244508237626e-09,"1"
87820757.9425046,2.5097541302564e-09,"1"
87851247.320161,2.68148390389888e-09,"1"
87881736.6978174,2.85805211673844e-09,"1"
87912226.0754738,3.0373869367779e-09,"1"
87942715.4531302,3.21890585822036e-09,"1"
87973204.8307866,3.40200670867447e-09,"1"
88003694.208443,3.58603532469167e-09,"1"
88034183.5860994,3.76976991137187e-09,"1"
88064672.9637557,3.95231054371537e-09,"1"
88095162.3414121,4.13295516710345e-09,"1"
88125651.7190685,4.31099995179608e-09,"1"
88156141.0967249,4.48463594300459e-09,"1"
88186630.4743813,4.65300790171604e-09,"1"
88217119.8520377,4.81594683192939e-09,"1"
88247609.2296941,4.97283573657068e-09,"1"
88278098.6073505,5.12307929200184e-09,"1"
88308587.9850069,5.26328248919459e-09,"1"
88339077.3626633,5.39510649585363e-09,"1"
88369566.7403197,5.51838712769216e-09,"1"
88400056.1179761,5.63282252864926e-09,"1"
88430545.4956324,5.73737921545896e-09,"1"
88461034.8732888,5.8299632896864e-09,"1"
88491524.2509452,5.91325163266336e-09,"1"
88522013.6286016,5.98737309641199e-09,"1"
88552503.006258,6.0525145383371e-09,"1"
88582992.3839144,6.10740604603638e-09,"1"
88613481.7615708,6.15296614748342e-09,"1"
88643971.1392272,6.19133924938118e-09,"1"
88674460.5168836,6.22319343164789e-09,"1"
88704949.89454,6.24925294417738e-09,"1"
88735439.2721964,6.26939381089072e-09,"1"
88765928.6498528,6.2862914945632e-09,"1"
88796418.0275092,6.30134966447875e-09,"1"
88826907.4051655,6.31569115658157e-09,"1"
88857396.7828219,6.33057452991843e-09,"1"
88887886.1604783,6.34879378045984e-09,"1"
88918375.5381347,6.37152723720792e-09,"1"
88948864.9157911,6.40013782605557e-09,"1"
88979354.2934475,6.4360027008655e-09,"1"
89009843.6711039,6.48215043268605e-09,"1"
89040333.0487603,6.54201941587952e-09,"1"
89070822.4264167,6.61501158703239e-09,"1"
89101311.8040731,6.70252166220383e-09,"1"
89131801.1817295,6.80593349635535e-09,"1"
89162290.5593859,6.93166311540748e-09,"1"
89192779.9370422,7.0795630353685e-09,"1"
89223269.3146986,7.24880495473039e-09,"1"
89253758.692355,7.44058577832203e-09,"1"
89284248.0700114,7.65607091442565e-09,"1"
89314737.4476678,7.90614486697993e-09,"1"
89345226.8253242,8.18339002934056e-09,"1"
89375716.2029806,8.4884885568571e-09,"1"
89406205.580637,8.82227278342497e-09,"1"
89436694.9582934,9.18859760061161e-09,"1"
89467184.3359498,9.59377264792468e-09,"1"
89497673.7136062,1.00303220828406e-08,"1"
89528163.0912625,1.0498678341146e-08,"1"
89558652.4689189,1.09992237477151e-08,"1"
89589141.8465753,1.15391277784681e-08,"1"
89619631.2242317,1.21171788731581e-08,"1"
89650120.6018881,1.27281540997337e-08,"1"
89680609.9795445,1.33720367676304e-08,"1"
89711099.3572009,1.40487650547244e-08,"1"
89741588.7348573,1.47684118025821e-08,"1"
89772078.1125137,1.55219881415962e-08,"1"
89802567.4901701,1.63074176826281e-08,"1"
89833056.8678265,1.71243322135263e-08,"1"
89863546.2454829,1.79739911922797e-08,"1"
89894035.6231392,1.88635064799009e-08,"1"
89924525.0007956,1.97825891091088e-08,"1"
89955014.378452,2.07307156843734e-08,"1"
89985503.7561084,2.17073578355683e-08,"1"
90015993.1337648,2.27163716025711e-08,"1"
90046482.5114212,2.37579766016199e-08,"1"
90076971.8890776,2.48259215573345e-08,"1"
90107461.266734,2.59197300840035e-08,"1"
90137950.6443904,2.70389429337623e-08,"1"
90168440.0220468,2.81896741327704e-08,"1"
90198929.3997032,2.93670352616879e-08,"1"
90229418.7773596,3.05682912786707e-08,"1"
90259908.1550159,3.17931856167413e-08,"1"
90290397.5326723,3.30417020322296e-08,"1"
90320886.9103287,3.43217096651183e-08,"1"
90351376.2879851,3.56247161949807e-08,"1"
90381865.6656415,3.69506771440778e-08,"1"
90412355.0432979,3.82995658696115e-08,"1"
90442844.4209543,3.96740657641408e-08,"1"
90473333.7986107,4.10773275517209e-08,"1"
90503823.1762671,4.25036101062421e-08,"1"
90534312.5539235,4.39529431904602e-08,"1"
90564801.9315799,4.54253481750641e-08,"2"
90595291.3092363,4.6926014717191e-08,"2"
90625780.6868927,4.84529867866145e-08,"2"
90656270.064549,5.00027983291049e-08,"2"
90686759.4422054,5.15752710119726e-08,"2"
90717248.8198618,5.31701889147542e-08,"2"
90747738.1975182,5.4794385105363e-08,"2"
90778227.5751746,5.64406354242903e-08,"2"
90808716.952831,5.81075762867984e-08,"2"
90839206.3304874,5.97945880698334e-08,"2"
90869695.7081438,6.15022856395974e-08,"2"
90900185.0858002,6.32333482161341e-08,"2"
90930674.4634566,6.49810229765454e-08,"2"
90961163.841113,6.67442605083186e-08,"2"
90991653.2187694,6.8521967088074e-08,"2"
91022142.5964257,7.03149735105034e-08,"2"
91052631.9740821,7.21210524533472e-08,"2"
91083121.3517385,7.39364062078443e-08,"2"
91113610.7293949,7.57596888831691e-08,"2"
