"x","y","quant"
87944890.3153412,1.93532627203082e-11,"0"
87974331.4508192,2.29467922104096e-11,"0"
88003772.5862972,2.70778775602998e-11,"0"
88033213.7217752,3.18028950204146e-11,"0"
88062654.8572532,3.72157508555243e-11,"0"
88092095.9927312,4.36729376433977e-11,"0"
88121537.1282092,5.10217435468889e-11,"0"
88150978.2636872,5.93466622599737e-11,"0"
88180419.3991652,6.87353220097897e-11,"0"
88209860.5346432,7.9620081962664e-11,"0"
88239301.6701212,9.20865684887277e-11,"0"
88268742.8055992,1.06069960464446e-10,"0"
88298183.9410772,1.21691161427761e-10,"0"
88327625.0765552,1.39176707950374e-10,"1"
88357066.2120332,1.593617423733e-10,"1"
88386507.3475112,1.81776553559533e-10,"1"
88415948.4829892,2.06575008555402e-10,"1"
88445389.6184672,2.33913916309699e-10,"1"
88474830.7539452,2.64731753707198e-10,"1"
88504271.8894232,2.99057378839652e-10,"1"
88533713.0249012,3.36663543175012e-10,"1"
88563154.1603792,3.77731122452951e-10,"1"
88592595.2958572,4.22668040813451e-10,"1"
88622036.4313352,4.729474081647e-10,"1"
88651477.5668132,5.27497637539903e-10,"1"
88680918.7022912,5.86507283533433e-10,"1"
88710359.8377692,6.50164371910977e-10,"1"
88739800.9732472,7.20013864725463e-10,"1"
88769242.1087252,7.95818271016746e-10,"1"
88798683.2442032,8.77057723733768e-10,"1"
88828124.3796812,9.63902467757837e-10,"1"
88857565.5151592,1.05689621463089e-09,"1"
88887006.6506372,1.15798804009217e-09,"1"
88916447.7861152,1.26535071644245e-09,"1"
88945888.9215932,1.37911292310722e-09,"1"
88975330.0570712,1.4993980029843e-09,"1"
89004771.1925492,1.62813962008057e-09,"1"
89034212.3280272,1.7646448009941e-09,"1"
89063653.4635052,1.90807656883062e-09,"1"
89093094.5989832,2.05849736712239e-09,"1"
89122535.7344612,2.21644442505289e-09,"1"
89151976.8699392,2.38386567171895e-09,"1"
89181418.0054172,2.55841456103997e-09,"1"
89210859.1408952,2.74008861448158e-09,"1"
89240300.2763732,2.92887936510346e-09,"1"
89269741.4118512,3.12667453515608e-09,"1"
89299182.5473292,3.33240266831487e-09,"1"
