"x","y","quant"
87947969.3693097,3.0043516326659e-11,"0"
87975183.5038522,3.55553311834762e-11,"0"
88002397.6383946,4.18788863277794e-11,"0"
88029611.7729371,4.91820002948864e-11,"0"
88056825.9074796,5.79276232582944e-11,"0"
88084040.042022,6.79221972564621e-11,"0"
88111254.1765645,7.92887150011979e-11,"0"
88138468.311107,9.2154312770819e-11,"0"
88165682.4456494,1.0735779225987e-10,"0"
88192896.5801919,1.24707144258878e-10,"0"
88220110.7147343,1.44259614424128e-10,"0"
88247324.8492768,1.66200196763766e-10,"0"
88274538.9838192,1.91330944842672e-10,"0"
88301753.1183617,2.20165980514006e-10,"1"
88328967.2529042,2.52360020580071e-10,"1"
88356181.3874466,2.88163096004818e-10,"1"
88383395.5219891,3.28051866484106e-10,"1"
88410609.6565316,3.73943058344217e-10,"1"
88437823.791074,4.24691385443416e-10,"1"
88465037.9256165,4.80608372320719e-10,"1"
88492252.0601589,5.4200978529024e-10,"1"
88519466.1947014,6.11349691653268e-10,"1"
88546680.3292439,6.87944291500637e-10,"1"
88573894.4637863,7.71542599281946e-10,"1"
88601108.5983288,8.62498662808785e-10,"1"
88628322.7328712,9.62624236132415e-10,"1"
88655536.8674137,1.0733253352647e-09,"1"
88682751.0019562,1.19298506047434e-09,"1"
88709965.1364986,1.32195374532946e-09,"1"
88737179.2710411,1.46079369278248e-09,"1"
88764393.4055835,1.61401709850851e-09,"1"
88791607.540126,1.77802160665686e-09,"1"
88818821.6746685,1.95309429009926e-09,"1"
88846035.8092109,2.13951365741585e-09,"1"
88873249.9437534,2.34110745952446e-09,"1"
88900464.0782958,2.55637738055571e-09,"1"
88927678.2128383,2.7839489041766e-09,"1"
88954892.3473808,3.02396275043358e-09,"1"
88982106.4819232,3.27835417648106e-09,"1"
89009320.6164657,3.54900252383359e-09,"1"
89036534.7510082,3.83232426686154e-09,"1"
89063748.8855506,4.12826345780324e-09,"1"
89090963.0200931,4.43674668103362e-09,"1"
89118177.1546355,4.76264044593968e-09,"1"
89145391.289178,5.10057204877992e-09,"1"
89172605.4237204,5.45014761709315e-09,"1"
89199819.5582629,5.81106409766031e-09,"1"
89227033.6928054,6.1856639098305e-09,"1"
89254247.8273478,6.57197286284711e-09,"1"
89281461.9618903,6.96775201942513e-09,"1"
89308676.0964328,7.3724828235633e-09,"1"
89335890.2309752,7.78644793937186e-09,"1"
89363104.3655177,8.20993300402211e-09,"1"
89390318.5000601,8.63968216931851e-09,"1"
89417532.6346026,9.07502029590489e-09,"1"
89444746.7691451,9.51526301069774e-09,"1"
89471960.9036875,9.96065729695613e-09,"1"
89499175.03823,1.04085976978676e-08,"1"
89526389.1727724,1.08582029948182e-08,"1"
89553603.3073149,1.13087370676621e-08,"1"
89580817.4418574,1.17591422017664e-08,"1"
89608031.5763998,1.22079324579002e-08,"1"
89635245.7109423,1.26544381692624e-08,"1"
89662459.8454847,1.30979820439387e-08,"1"
89689673.9800272,1.35374963110588e-08,"1"
89716888.1145697,1.39705744057475e-08,"1"
89744102.2491121,1.43979496997631e-08,"1"
89771316.3836546,1.48191060153396e-08,"1"
89798530.518197,1.52335439139235e-08,"1"
89825744.6527395,1.56379072006438e-08,"1"
89852958.787282,1.60336529751764e-08,"1"
89880172.9218244,1.64210125433363e-08,"1"
89907387.0563669,1.67997314659541e-08,"1"
89934601.1909094,1.71677116408977e-08,"1"
89961815.3254518,1.75245733768767e-08,"1"
89989029.4599943,1.78722855577837e-08,"1"
90016243.5945367,1.82108826680153e-08,"1"
90043457.7290792,1.85399572768527e-08,"1"
90070671.8636217,1.88570167270517e-08,"1"
90097885.9981641,1.91657311864119e-08,"1"
90125100.1327066,1.9466439454128e-08,"1"
90152314.267249,1.97595046866321e-08,"1"
90179528.4017915,2.00433476175765e-08,"1"
90206742.536334,2.0320564939854e-08,"1"
90233956.6708764,2.0592472550587e-08,"1"
90261170.8054189,2.08597252431208e-08,"1"
90288384.9399613,2.11225855889981e-08,"1"
90315599.0745038,2.13824735735425e-08,"1"
90342813.2090463,2.16412127110803e-08,"1"
90370027.3435887,2.18997088166011e-08,"1"
90397241.4781312,2.21589431373977e-08,"1"
90424455.6126736,2.24215917793578e-08,"1"
90451669.7472161,2.26884423011453e-08,"1"
90478883.8817586,2.29605756282154e-08,"1"
90506098.016301,2.32390813316398e-08,"1"
90533312.1508435,2.35280352675083e-08,"1"
90560526.285386,2.38282986859666e-08,"1"
90587740.4199284,2.41399788358902e-08,"1"
90614954.5544709,2.44642082916803e-08,"1"
90642168.6890133,2.48044231365111e-08,"1"
90669382.8235558,2.51649474879346e-08,"1"
90696596.9580982,2.55429225005477e-08,"1"
90723811.0926407,2.59393654116204e-08,"1"
90751025.2271832,2.63552780211306e-08,"1"
90778239.3617256,2.68010696724729e-08,"1"
