"E","S","Stat","Syst","invK","dat"
0.0078,8.66,0.28,0.03,"No","Ali01a"
0.00896,7.85,0.26,0.03,"No","Ali01a"
0.00966,7.68,0.22,0.03,"No","Ali01a"
0.01072,7.48,0.2,0.03,"No","Ali01a"
0.01144,7.29,0.2,0.03,"No","Ali01a"
0.01199,7.35,0.2,0.03,"No","Ali01a"
0.01318,7.28,0.2,0.03,"No","Ali01a"
0.01439,7.04,0.2,0.03,"No","Ali01a"
0.01499,7.07,0.2,0.03,"No","Ali01a"
0.01675,7.16,0.2,0.03,"No","Ali01a"
0.01799,7.02,0.2,0.03,"No","Ali01a"
0.01914,7.2,0.2,0.03,"No","Ali01a"
0.02094,6.81,0.18,0.03,"No","Ali01a"
0.02155,7.09,0.2,0.03,"No","Ali01a"
0.02271,7.13,0.2,0.03,"No","Ali01a"
0.02393,6.91,0.18,0.03,"No","Ali01a"
0.02508,7.18,0.2,0.03,"No","Ali01a"
0.02662,6.93,0.18,0.03,"No","Ali01a"
0.02873,7.22,0.2,0.03,"No","Ali01a"
0.02991,6.87,0.18,0.03,"No","Ali01a"
0.0311,7.24,0.2,0.03,"No","Ali01a"
0.03289,7.04,0.2,0.03,"No","Ali01a"
0.03349,7.33,0.2,0.03,"No","Ali01a"
0.03586,7.22,0.18,0.03,"No","Ali01a"
0.03858,7.33,0.18,0.03,"No","Ali01a"
0.04067,7.44,0.22,0.03,"No","Ali01a"
0.04187,7.29,0.2,0.03,"No","Ali01a"
0.04306,7.48,0.22,0.03,"No","Ali01a"
0.04485,7.4,0.2,0.03,"No","Ali01a"
0.04544,7.7,0.22,0.03,"No","Ali01a"
0.04786,7.63,0.2,0.03,"No","Ali01a"
0.05021,7.66,0.22,0.03,"No","Ali01a"
0.05083,7.7,0.2,0.03,"No","Ali01a"
0.05265,7.7,0.22,0.03,"No","Ali01a"
0.05382,7.77,0.22,0.03,"No","Ali01a"
0.05504,7.77,0.22,0.03,"No","Ali01a"
0.05681,7.88,0.2,0.03,"No","Ali01a"
0.05741,7.94,0.22,0.03,"No","Ali01a"
0.0598,8.12,0.22,0.03,"No","Ali01a"
0.00602,10.37,0.35,0.03,"No","Ali01a"
0.00645,9.36,0.35,0.03,"No","Ali01a"
0.0069,8.82,0.31,0.03,"No","Ali01a"
0.00751,9.12,0.29,0.03,"No","Ali01a"
0.00818,8.31,0.24,0.03,"No","Ali01a"
0.00902,7.88,0.22,0.03,"No","Ali01a"
0.00501,10.76,1.47,0.03,"No","Ali01a"
0.0055,10.31,0.81,0.03,"No","Ali01a"
0.00601,9.41,0.48,0.03,"No","Ali01a"
0.01195,7.19,0.35,0.03,"Yes","Ali01b"
0.01395,6.95,0.23,0.03,"Yes","Ali01b"
0.01595,6.87,0.18,0.03,"Yes","Ali01b"
0.01794,6.91,0.19,0.03,"Yes","Ali01b"
0.01993,6.75,0.18,0.03,"Yes","Ali01b"
0.02192,6.96,0.19,0.03,"Yes","Ali01b"
0.02392,6.92,0.19,0.03,"Yes","Ali01b"
0.02592,7.17,0.19,0.03,"Yes","Ali01b"
0.02788,7.01,0.19,0.03,"Yes","Ali01b"
0.02988,7.19,0.19,0.03,"Yes","Ali01b"
0.0319,7.17,0.19,0.03,"Yes","Ali01b"
0.03389,7.43,0.2,0.03,"Yes","Ali01b"
0.03589,7.39,0.19,0.03,"Yes","Ali01b"
0.03589,7.58,0.2,0.03,"Yes","Ali01b"
0.03788,7.63,0.2,0.03,"Yes","Ali01b"
0.03987,7.65,0.2,0.03,"Yes","Ali01b"
0.00422,9.7,1.65,0.055,"Yes","Cos00"
0.00459,9,0.67,0.055,"Yes","Cos00"
0.00471,8.09,0.62,0.055,"Yes","Cos00"
0.005,8.95,0.7,0.055,"Yes","Cos00"
0.00509,9.82,1.01,0.055,"Yes","Cos00"
0.00537,8.86,0.48,0.055,"Yes","Cos00"
0.00544,8.01,0.39,0.055,"Yes","Cos00"
0.00551,9.68,0.7,0.055,"Yes","Cos00"
0.00554,8.87,0.55,0.055,"Yes","Cos00"
0.00577,8.99,0.31,0.055,"Yes","Cos00"
0.00583,8.93,0.36,0.055,"Yes","Cos00"
0.0059,8.74,0.25,0.055,"Yes","Cos00"
0.00593,8.31,0.55,0.055,"Yes","Cos00"
0.00623,8.15,0.29,0.055,"Yes","Cos00"
0.00631,8.1,0.23,0.055,"Yes","Cos00"
0.00652,8.26,0.48,0.055,"Yes","Cos00"
0.00657,8.03,0.26,0.055,"Yes","Cos00"
0.00672,8.32,0.16,0.055,"Yes","Cos00"
0.007,7.9,0.27,0.055,"Yes","Cos00"
0.00707,8.32,0.28,0.055,"Yes","Cos00"
0.00734,7.7,0.16,0.055,"Yes","Cos00"
0.0074,7.69,0.15,0.055,"Yes","Cos00"
0.00746,7.9,0.18,0.055,"Yes","Cos00"
0.00752,7.83,0.26,0.055,"Yes","Cos00"
0.00812,7.31,0.11,0.055,"Yes","Cos00"
0.00819,7.31,0.25,0.055,"Yes","Cos00"
0.00822,7.43,0.24,0.055,"Yes","Cos00"
0.00829,7.85,0.24,0.055,"Yes","Cos00"
0.00834,7.51,0.22,0.055,"Yes","Cos00"
0.00851,7.38,0.22,0.055,"Yes","Cos00"
0.0086,7.65,0.23,0.055,"Yes","Cos00"
0.00871,7.82,0.28,0.055,"Yes","Cos00"
0.00898,7.36,0.19,0.055,"Yes","Cos00"
0.00908,7.66,0.17,0.055,"Yes","Cos00"
0.00914,7.6,0.24,0.055,"Yes","Cos00"
0.00929,7.54,0.23,0.055,"Yes","Cos00"
0.00938,7.47,0.14,0.055,"Yes","Cos00"
0.00948,7.59,0.13,0.055,"Yes","Cos00"
0.00978,7.32,0.22,0.055,"Yes","Cos00"
0.00987,7.52,0.19,0.055,"Yes","Cos00"
0.00991,7.24,0.18,0.055,"Yes","Cos00"
0.01007,7.39,0.19,0.055,"Yes","Cos00"
0.01018,7.35,0.14,0.055,"Yes","Cos00"
0.01029,7.44,0.17,0.055,"Yes","Cos00"
0.01087,7.38,0.16,0.055,"Yes","Cos00"
0.01096,7.35,0.13,0.055,"Yes","Cos00"
0.01105,7.41,0.17,0.055,"Yes","Cos00"
0.01165,7.24,0.14,0.055,"Yes","Cos00"
0.01178,7.21,0.12,0.055,"Yes","Cos00"
0.01185,7.35,0.11,0.055,"Yes","Cos00"
0.01241,7.58,0.14,0.055,"Yes","Cos00"
0.01255,7.31,0.13,0.055,"Yes","Cos00"
0.01265,7.31,0.14,0.055,"Yes","Cos00"
0.01307,7.36,0.13,0.055,"Yes","Cos00"
0.01383,7.23,0.13,0.055,"Yes","Cos00"
0.0856,7.173,0.50211,0.039,"No","Mol80"
0.146,14.182,0.42545,0.039,"No","Mol80"
0.1736,16.676,0.50027,0.039,"No","Mol80"
0.2056,18.58,0.55739,0.039,"No","Mol80"
0.2196,17.239,0.51717,0.039,"No","Mol80"
0.2336,17.646,0.52937,0.039,"No","Mol80"
0.2668,14.769,0.44306,0.039,"No","Mol80"
0.2964,13.223,0.3967,0.039,"No","Mol80"
0.3088,11.221,0.33662,0.039,"No","Mol80"
0.328,10.157,0.30472,0.039,"No","Mol80"
0.3856,7.3423,0.22027,0.039,"No","Mol80"
0.446,5.0221,0.15066,0.039,"No","Mol80"
0.5064,3.8713,0.11614,0.039,"No","Mol80"
0.5648,2.8857,0.086572,0.039,"No","Mol80"
0.6256,2.337,0.070109,0.039,"No","Mol80"
0.6836,2.0106,0.060317,0.039,"No","Mol80"
0.7504,1.6808,0.050425,0.039,"No","Mol80"
0.8068,1.5528,0.046585,0.039,"No","Mol80"
0.0497,7.24,0.072,0.078,"No","Kra87"
0.05369,7.67,0.077,0.078,"No","Kra87"
0.059,8.4,0.4,0.078,"No","Kra87"
0.05952,7.96,0.08,0.078,"No","Kra87"
0.05966,8.26,0.083,0.078,"No","Kra87"
0.0653,8.6,0.5,0.078,"No","Kra87"
0.083,9.1,0.4,0.078,"No","Kra87"
0.1007,9.9,0.5,0.078,"No","Kra87"
0.1184,11.5,0.6,0.078,"No","Kra87"
0.136,13.1,0.6,0.078,"No","Kra87"
0.1537,16,0.8,0.078,"No","Kra87"
0.1713,17.2,0.9,0.078,"No","Kra87"
0.1344,10.074,0.060443,0.034,"No","Zhi77"
0.1422,12.08,0.072483,0.034,"No","Zhi77"
