x lower median upper fu
1.000000e-03 1.984932e-07 1.997831e-07 2.008069e-07 1.005881e+00
2.000000e-03 1.436134e-03 1.445336e-03 1.452678e-03 1.005823e+00
3.000000e-03 1.039823e-01 1.046440e-01 1.051711e-01 1.005776e+00
4.000000e-03 1.529375e+00 1.539009e+00 1.546775e+00 1.005733e+00
5.000000e-03 1.027924e+01 1.034347e+01 1.039531e+01 1.005694e+00
6.000000e-03 4.377814e+01 4.405060e+01 4.426899e+01 1.005657e+00
7.000000e-03 1.388648e+02 1.397273e+02 1.404152e+02 1.005623e+00
8.000000e-03 3.592138e+02 3.614327e+02 3.632198e+02 1.005591e+00
9.000000e-03 8.010375e+02 8.059679e+02 8.099336e+02 1.005560e+00
1.000000e-02 1.596722e+03 1.606478e+03 1.614371e+03 1.005530e+00
1.100000e-02 2.916298e+03 2.934156e+03 2.948565e+03 1.005502e+00
1.200000e-02 4.967865e+03 4.998114e+03 5.022603e+03 1.005474e+00
1.300000e-02 7.996009e+03 8.044396e+03 8.083735e+03 1.005448e+00
1.400000e-02 1.227997e+04 1.235399e+04 1.241424e+04 1.005422e+00
1.500000e-02 1.813104e+04 1.824002e+04 1.832881e+04 1.005396e+00
1.600000e-02 2.588970e+04 2.604473e+04 2.617214e+04 1.005372e+00
1.800000e-02 4.861972e+04 4.891038e+04 4.914671e+04 1.005324e+00
2.000000e-02 8.366479e+04 8.416129e+04 8.456818e+04 1.005277e+00
2.500000e-02 2.484780e+05 2.499063e+05 2.510842e+05 1.005165e+00
3.000000e-02 5.711522e+05 5.743297e+05 5.769848e+05 1.005055e+00
4.000000e-02 1.931682e+06 1.941825e+06 1.950703e+06 1.004828e+00
5.000000e-02 4.615682e+06 4.638353e+06 4.658510e+06 1.004590e+00
6.000000e-02 8.971994e+06 9.012999e+06 9.049956e+06 1.004349e+00
7.000000e-02 1.520816e+07 1.527304e+07 1.533305e+07 1.004113e+00
8.000000e-02 2.338498e+07 2.347872e+07 2.356778e+07 1.003893e+00
9.000000e-02 3.343628e+07 3.356346e+07 3.368243e+07 1.003691e+00
1.000000e-01 4.520252e+07 4.536487e+07 4.551514e+07 1.003512e+00
1.100000e-01 5.845546e+07 5.866237e+07 5.884723e+07 1.003353e+00
1.200000e-01 7.295120e+07 7.320136e+07 7.341988e+07 1.003215e+00
1.300000e-01 8.843008e+07 8.872527e+07 8.897835e+07 1.003095e+00
1.400000e-01 1.046521e+08 1.049859e+08 1.052739e+08 1.002991e+00
1.500000e-01 1.213733e+08 1.217510e+08 1.220735e+08 1.002902e+00
1.600000e-01 1.383975e+08 1.388207e+08 1.391755e+08 1.002825e+00
1.800000e-01 1.726629e+08 1.731656e+08 1.736082e+08 1.002703e+00
2.000000e-01 2.063280e+08 2.068993e+08 2.074225e+08 1.002614e+00
2.500000e-01 2.835311e+08 2.842690e+08 2.849600e+08 1.002489e+00
3.000000e-01 3.474328e+08 3.483361e+08 3.491619e+08 1.002444e+00
3.500000e-01 3.978368e+08 3.988495e+08 3.997844e+08 1.002440e+00
4.000000e-01 4.363492e+08 4.374776e+08 4.385057e+08 1.002456e+00
4.500000e-01 4.650826e+08 4.663003e+08 4.674094e+08 1.002483e+00
5.000000e-01 4.859735e+08 4.872627e+08 4.884205e+08 1.002516e+00
6.000000e-01 5.104577e+08 5.118631e+08 5.130968e+08 1.002586e+00
7.000000e-01 5.195088e+08 5.209736e+08 5.222440e+08 1.002657e+00
8.000000e-01 5.191116e+08 5.206248e+08 5.218986e+08 1.002723e+00
9.000000e-01 5.130235e+08 5.145278e+08 5.158294e+08 1.002784e+00
1.000000e+00 5.035310e+08 5.050506e+08 5.063412e+08 1.002841e+00
1.250000e+00 4.732140e+08 4.746768e+08 4.759249e+08 1.002965e+00
1.500000e+00 4.409028e+08 4.422849e+08 4.435045e+08 1.003069e+00
1.750000e+00 4.103243e+08 4.116482e+08 4.128077e+08 1.003158e+00
2.000000e+00 3.825041e+08 3.837706e+08 3.848952e+08 1.003236e+00
2.500000e+00 3.354047e+08 3.365385e+08 3.375641e+08 1.003370e+00
3.000000e+00 2.978442e+08 2.988697e+08 2.998217e+08 1.003486e+00
3.500000e+00 2.675278e+08 2.684922e+08 2.693736e+08 1.003592e+00
4.000000e+00 2.427021e+08 2.436005e+08 2.444255e+08 1.003692e+00
5.000000e+00 2.046155e+08 2.054152e+08 2.061601e+08 1.003886e+00
6.000000e+00 1.768658e+08 1.775833e+08 1.782509e+08 1.004082e+00
7.000000e+00 1.557691e+08 1.564051e+08 1.570319e+08 1.004286e+00
8.000000e+00 1.391815e+08 1.397775e+08 1.403792e+08 1.004498e+00
9.000000e+00 1.258058e+08 1.263679e+08 1.269440e+08 1.004720e+00
1.000000e+01 1.147922e+08 1.153344e+08 1.158904e+08 1.004951e+00
