"E","S","Stat","Syst","dat"
0.3,1.4064,0.014064,0.0109306714285714,"Bam57"
0.45,0.83975,0.0083975,0.0109306714285714,"Bam57"
0.6,0.5983,0.005983,0.0109306714285714,"Bam57"
0.75,0.50274,0.0050274,0.0109306714285714,"Bam57"
0.9,0.45017,0.0045017,0.0109306714285714,"Bam57"
1.05,0.40958,0.0040958,0.0109306714285714,"Bam57"
1.5,0.36409,0.0036409,0.0109306714285714,"Bam57"
1.8,0.37888,0.0037888,0.0109306714285714,"Bam57"
2.1,0.39311,0.0039311,0.0109306714285714,"Bam57"
2.4,0.41156,0.0041156,0.0109306714285714,"Bam57"
2.7,0.44531,0.0044531,0.0109306714285714,"Bam57"
3,0.46366,0.0046366,0.0109306714285714,"Bam57"
3.6,0.49102,0.0049102,0.0109306714285714,"Bam57"
4.2,0.4969,0.004969,0.0109306714285714,"Bam57"
0.047948,26.48,0.21184,0.34097,"Bro87"
0.050947,26.84,0.21472,0.34097,"Bro87"
0.053942,25.89,0.20712,0.34097,"Bro87"
0.056942,25.5,0.204,0.34097,"Bro87"
0.059941,24.33,0.19464,0.34097,"Bro87"
0.062941,23.44,0.18752,0.34097,"Bro87"
0.065941,22.02,0.17616,0.34097,"Bro87"
0.069541,20.34,0.16272,0.34097,"Bro87"
0.046765,26.64,0.13853,0.244966235294118,"Jar86 "
0.045965,26.74,0.12835,0.244966235294118,"Jar86 "
0.043965,26.3,0.14202,0.244966235294118,"Jar86 "
0.041966,26,0.1222,0.244966235294118,"Jar86 "
0.039966,25.28,0.14157,0.244966235294118,"Jar86 "
0.035967,24.02,0.11289,0.244966235294118,"Jar86 "
0.031968,22.19,0.11095,0.244966235294118,"Jar86 "
0.027969,20.7,0.09315,0.244966235294118,"Jar86 "
0.023971,18.87,0.079254,0.244966235294118,"Jar86 "
0.019973,17.35,0.088485,0.244966235294118,"Jar86 "
0.015975,15.81,0.12964,0.244966235294118,"Jar86 "
0.011978,14.32,0.097376,0.244966235294118,"Jar86 "
0.00998,13.92,0.14059,0.244966235294118,"Jar86 "
0.0079824,13.43,0.26994,0.244966235294118,"Jar86 "
0.0069836,12.83,0.40414,0.244966235294118,"Jar86 "
0.0059848,13.48,0.38553,0.244966235294118,"Jar86 "
0.0049876,12.63,0.57972,0.244966235294118,"Jar86 "
