x lower median upper fu
1.000000e-03 1.906575e-07 1.937206e-07 1.968792e-07 1.015409e+00
2.000000e-03 1.383020e-03 1.404883e-03 1.427321e-03 1.015154e+00
3.000000e-03 1.003581e-01 1.019221e-01 1.035261e-01 1.014940e+00
4.000000e-03 1.479017e+00 1.501797e+00 1.525116e+00 1.014749e+00
5.000000e-03 9.958935e+00 1.011072e+01 1.026559e+01 1.014574e+00
6.000000e-03 4.248610e+01 4.312904e+01 4.377851e+01 1.014412e+00
7.000000e-03 1.349853e+02 1.370032e+02 1.390398e+02 1.014260e+00
8.000000e-03 3.497065e+02 3.549042e+02 3.600967e+02 1.014117e+00
9.000000e-03 7.809512e+02 7.924717e+02 8.039364e+02 1.013982e+00
1.000000e-02 1.558827e+03 1.581614e+03 1.604316e+03 1.013853e+00
1.100000e-02 2.850954e+03 2.892349e+03 2.933372e+03 1.013731e+00
1.200000e-02 4.862837e+03 4.932737e+03 5.002077e+03 1.013614e+00
1.300000e-02 7.836634e+03 7.948449e+03 8.059369e+03 1.013502e+00
1.400000e-02 1.204899e+04 1.222026e+04 1.238936e+04 1.013396e+00
1.500000e-02 1.781083e+04 1.806156e+04 1.830949e+04 1.013294e+00
1.600000e-02 2.546074e+04 2.581678e+04 2.616763e+04 1.013196e+00
1.800000e-02 4.791590e+04 4.857843e+04 4.922489e+04 1.013013e+00
2.000000e-02 8.261547e+04 8.374421e+04 8.484387e+04 1.012845e+00
2.500000e-02 2.464135e+05 2.497083e+05 2.528527e+05 1.012482e+00
3.000000e-02 5.684559e+05 5.759546e+05 5.828993e+05 1.012190e+00
4.000000e-02 1.933203e+06 1.957934e+06 1.980559e+06 1.011777e+00
5.000000e-02 4.634738e+06 4.693507e+06 4.746264e+06 1.011536e+00
6.000000e-02 9.025148e+06 9.138412e+06 9.240928e+06 1.011409e+00
7.000000e-02 1.530859e+07 1.550062e+07 1.567204e+07 1.011352e+00
8.000000e-02 2.353813e+07 2.383390e+07 2.409735e+07 1.011337e+00
9.000000e-02 3.363636e+07 3.405966e+07 3.443397e+07 1.011344e+00
1.000000e-01 4.543195e+07 4.600841e+07 4.651264e+07 1.011363e+00
1.100000e-01 5.869531e+07 5.944689e+07 6.009680e+07 1.011388e+00
1.200000e-01 7.317838e+07 7.411215e+07 7.492650e+07 1.011415e+00
1.300000e-01 8.860636e+07 8.974039e+07 9.073453e+07 1.011443e+00
1.400000e-01 1.047487e+08 1.060840e+08 1.072727e+08 1.011471e+00
1.500000e-01 1.213631e+08 1.229067e+08 1.242873e+08 1.011498e+00
1.600000e-01 1.382510e+08 1.400100e+08 1.416095e+08 1.011525e+00
1.800000e-01 1.721733e+08 1.743701e+08 1.763864e+08 1.011577e+00
2.000000e-01 2.054219e+08 2.080611e+08 2.104880e+08 1.011628e+00
2.500000e-01 2.814267e+08 2.850996e+08 2.884695e+08 1.011754e+00
3.000000e-01 3.441268e+08 3.486641e+08 3.528894e+08 1.011881e+00
3.500000e-01 3.934257e+08 3.986764e+08 4.035963e+08 1.012014e+00
4.000000e-01 4.310187e+08 4.368625e+08 4.423348e+08 1.012153e+00
4.500000e-01 4.589770e+08 4.653534e+08 4.712378e+08 1.012296e+00
5.000000e-01 4.792655e+08 4.860216e+08 4.923014e+08 1.012445e+00
6.000000e-01 5.029597e+08 5.102372e+08 5.170103e+08 1.012756e+00
7.000000e-01 5.115749e+08 5.191306e+08 5.261842e+08 1.013083e+00
8.000000e-01 5.109108e+08 5.186878e+08 5.259213e+08 1.013421e+00
9.000000e-01 5.047483e+08 5.125889e+08 5.198571e+08 1.013769e+00
1.000000e+00 4.952660e+08 5.031472e+08 5.104186e+08 1.014126e+00
1.250000e+00 4.651804e+08 4.730303e+08 4.801859e+08 1.015044e+00
1.500000e+00 4.332231e+08 4.409225e+08 4.478353e+08 1.015988e+00
1.750000e+00 4.029041e+08 4.105414e+08 4.171428e+08 1.016947e+00
2.000000e+00 3.754207e+08 3.828606e+08 3.892344e+08 1.017915e+00
2.500000e+00 3.287587e+08 3.359233e+08 3.418718e+08 1.019856e+00
3.000000e+00 2.914686e+08 2.984223e+08 3.040318e+08 1.021788e+00
3.500000e+00 2.613582e+08 2.681450e+08 2.734707e+08 1.023698e+00
4.000000e+00 2.366994e+08 2.432882e+08 2.484161e+08 1.025578e+00
5.000000e+00 1.988617e+08 2.051308e+08 2.099353e+08 1.029241e+00
6.000000e+00 1.711948e+08 1.773152e+08 1.818332e+08 1.032771e+00
7.000000e+00 1.501698e+08 1.561515e+08 1.604559e+08 1.036173e+00
8.000000e+00 1.336599e+08 1.395161e+08 1.436394e+08 1.039454e+00
9.000000e+00 1.203356e+08 1.260910e+08 1.300652e+08 1.042624e+00
1.000000e+01 1.093899e+08 1.150385e+08 1.188809e+08 1.045692e+00
