       E            S         Stat
      0.00695       6.48       1.32
      0.00895       6.98       0.39
      0.00994       6.05       0.22
      0.01187       6.28       0.13
      0.01492       6.76       0.08
      0.01783       6.46       0.04
      0.01791       6.63       0.08
      0.02089       6.24       0.06
      0.02379       6.31       0.0
      0.02388       6.72       0.0
      0.02984       6.65       0.0
      0.03968       7.05       0.0
      0.03975       6.88       0.0
      0.04178       7.08       0.0
      0.04764       7.21       0.0
      0.04775       7.46       0.0
      0.04970       7.24       0.0
      0.05169       7.67       0.0
      0.05952       7.96       0.0
      0.05966       8.26       0.0
